Date,Open,High,Low,Close,Adj Close,Volume
2018-10-17,49.619999,49.790001,49.250000,49.470001,47.384621,888200
2018-10-18,49.500000,49.619999,49.230000,49.520000,47.432514,843000
2018-10-19,49.619999,49.860001,49.470001,49.549999,47.461243,651800
2018-10-22,49.360001,49.439999,48.900002,49.070000,47.001480,461700
2018-10-23,47.430000,47.880001,47.099998,47.709999,45.698811,949200
2018-10-24,47.730000,47.730000,47.040001,47.040001,45.057053,746200
2018-10-25,47.040001,47.430000,47.040001,47.290001,45.296516,826500
2018-10-26,46.459999,46.540001,45.610001,45.810001,43.878906,1040000
2018-10-29,46.000000,46.000000,44.980000,45.380001,43.467030,1082900
2018-10-30,45.380001,45.759998,45.360001,45.740002,43.811855,969600
2018-10-31,46.410000,46.720001,46.259998,46.549999,44.587711,881100
2018-11-01,47.009998,47.660000,46.910000,47.619999,45.612606,905400
2018-11-02,47.349998,47.389999,46.099998,46.430000,44.472767,1396400
2018-11-05,46.500000,46.680000,46.400002,46.549999,44.587711,588700
2018-11-06,46.790001,46.980000,46.689999,46.910000,44.932533,385800
2018-11-07,46.770000,47.110001,46.570000,47.040001,45.057053,576800
2018-11-08,47.310001,47.700001,47.299999,47.470001,45.468929,696100
2018-11-09,46.419998,46.480000,45.939999,46.040001,44.099209,1098900
2018-11-12,46.849998,46.990002,46.520000,46.619999,44.654755,651400
2018-11-13,47.580002,48.160000,47.349998,47.610001,45.603027,739900
2018-11-14,47.889999,48.240002,47.740002,48.040001,46.014900,668700
2018-11-15,48.310001,48.919998,48.279999,48.919998,46.857800,740900
2018-11-16,48.799999,49.590000,48.799999,49.360001,47.279255,805800
2018-11-19,48.939999,49.049999,48.369999,48.709999,46.656654,840800
2018-11-20,48.450001,48.480000,47.919998,48.099998,46.072369,822300
2018-11-21,48.270000,48.360001,47.790001,47.860001,45.842487,800500
2018-11-23,48.080002,48.320000,47.950001,48.080002,46.053215,330600
2018-11-26,49.480000,49.810001,49.320000,49.730000,47.633659,883000
2018-11-27,49.009998,49.360001,48.930000,49.259998,47.183472,820300
2018-11-28,49.580002,49.730000,49.160000,49.730000,47.633659,530500
2018-11-29,49.009998,49.189999,48.720001,48.730000,46.675812,918600
2018-11-30,49.220001,49.740002,49.220001,49.740002,47.643242,1615600
2018-12-03,48.250000,48.270000,47.799999,48.090000,46.062790,1068500
2018-12-04,48.410000,48.650002,47.889999,47.900002,45.880802,1431800
2018-12-06,48.150002,48.689999,47.990002,48.689999,46.637497,1396200
2018-12-07,49.439999,49.779999,49.220001,49.279999,47.202629,726800
2018-12-10,49.080002,49.090000,48.610001,49.009998,46.944008,814500
2018-12-11,48.430000,48.660000,48.209999,48.290001,46.254360,1074700
2018-12-12,49.180000,49.349998,49.080002,49.090000,47.020638,1154700
2018-12-13,49.240002,49.299999,49.060001,49.169998,47.097263,923300
2018-12-14,48.000000,48.070000,47.240002,47.570000,45.564713,1010100
2018-12-17,47.650002,48.130001,47.500000,47.639999,45.631760,1024500
2018-12-18,47.730000,48.220001,47.580002,47.779999,45.765858,1051300
2018-12-19,48.060001,48.709999,47.779999,48.020000,45.995743,902400
2018-12-20,48.250000,48.560001,48.070000,48.209999,46.177734,1438500
2018-12-21,47.840000,48.099998,47.310001,47.459999,45.459347,1403800
2018-12-24,46.950001,46.959999,46.130001,46.430000,44.472767,661400
2018-12-26,46.480000,47.490002,46.470001,47.490002,45.488087,700500
2018-12-27,46.830002,47.610001,46.779999,47.599998,45.593449,901800
2018-12-28,47.380001,47.810001,47.330002,47.599998,45.593449,1007300
2018-12-31,47.919998,48.169998,47.799999,48.000000,45.976585,665500
2019-01-02,47.139999,47.509998,46.990002,47.509998,45.507240,668300
2019-01-03,47.400002,47.590000,47.270000,47.389999,45.392300,738400
2019-01-04,48.680000,49.389999,48.509998,49.230000,47.154736,1140700
2019-01-07,49.500000,50.060001,49.450001,49.910000,47.806072,632000
2019-01-08,50.029999,50.450001,50.029999,50.330002,48.208366,1023400
2019-01-09,50.720001,50.990002,50.470001,50.779999,48.639397,1049000
2019-01-10,50.610001,50.959999,50.509998,50.900002,48.754337,1076900
2019-01-11,50.779999,51.230000,50.750000,51.049999,48.898010,630700
2019-01-14,50.939999,51.310001,50.820000,51.119999,48.965061,558500
2019-01-15,51.580002,51.830002,51.270000,51.400002,49.233261,1273500
2019-01-16,51.450001,51.689999,51.340000,51.400002,49.233261,2520500
2019-01-17,51.310001,51.330002,50.970001,51.099998,48.945904,2372900
2019-01-18,51.490002,51.730000,51.349998,51.419998,49.252419,1447000
2019-01-22,51.220001,51.290001,50.900002,50.990002,48.840546,1987600
2019-01-23,51.669998,52.130001,51.669998,51.869999,49.683449,2202500
2019-01-24,52.119999,52.439999,52.009998,52.360001,50.152790,4056200
2019-01-25,51.970001,52.020000,51.669998,51.759998,49.578083,2007000
2019-01-28,52.009998,52.500000,51.930000,52.419998,50.210262,1041400
2019-01-29,52.220001,52.400002,52.040001,52.060001,49.865440,571000
