Date,Open,High,Low,Close,Adj Close,Volume
2018-10-17,1.040000,1.250000,1.040000,1.141000,1.141000,916600
2018-10-18,1.200000,1.690000,1.080000,1.160000,1.160000,2187300
2018-10-19,1.220000,1.320000,1.040000,1.110000,1.110000,628400
2018-10-22,1.110000,1.140000,1.020000,1.055000,1.055000,215900
2018-10-23,1.050000,1.110000,1.000000,1.090000,1.090000,232700
2018-10-24,1.090000,1.101000,0.950000,0.950000,0.950000,165900
2018-10-25,0.960000,1.000000,0.950000,0.980000,0.980000,104800
2018-10-26,0.990000,1.139000,0.950000,1.020000,1.020000,241600
2018-10-29,1.020000,1.050000,0.978000,1.000000,1.000000,77700
2018-10-30,0.950000,1.000000,0.950000,0.988000,0.988000,55800
2018-10-31,1.035000,1.035000,0.960000,1.000000,1.000000,74900
2018-11-01,0.975000,1.040000,0.960000,1.020000,1.020000,131700
2018-11-02,0.978000,1.020000,0.978000,1.010000,1.010000,27100
2018-11-05,0.990000,1.030000,0.990000,0.990000,0.990000,27100
2018-11-06,0.996000,1.100000,0.990000,1.086000,1.086000,196700
2018-11-07,1.100000,1.125000,1.010000,1.090000,1.090000,471500
2018-11-08,1.050000,1.055000,0.950000,0.989000,0.989000,186500
2018-11-09,0.950000,1.000000,0.945000,0.964000,0.964000,91000
2018-11-12,0.978000,0.979000,0.960000,0.960000,0.960000,54500
2018-11-13,0.970000,0.979000,0.950000,0.979000,0.979000,31700
2018-11-14,1.000000,1.010000,0.921000,0.950000,0.950000,48900
2018-11-15,0.921000,1.010000,0.920000,0.943000,0.943000,167400
2018-11-16,0.920000,0.964000,0.920000,0.930000,0.930000,10100
2018-11-19,0.920000,0.971000,0.879000,0.933000,0.933000,40800
2018-11-20,0.920000,0.980000,0.850000,0.950000,0.950000,85500
2018-11-21,0.980000,0.980000,0.920000,0.950000,0.950000,30200
2018-11-23,0.980000,0.980000,0.930000,0.930000,0.930000,11900
2018-11-26,0.960000,0.980000,0.950000,0.954000,0.954000,19100
2018-11-27,0.950000,0.965000,0.917000,0.941000,0.941000,20400
2018-11-28,0.959000,0.979000,0.940000,0.945000,0.945000,49700
2018-11-29,0.945000,0.959000,0.945000,0.950000,0.950000,29600
2018-11-30,0.940000,0.940000,0.880000,0.931000,0.931000,25300
2018-12-03,0.950000,1.100000,0.950000,0.970000,0.970000,188500
2018-12-04,0.990000,1.000000,0.950000,0.970000,0.970000,26500
2018-12-06,0.950000,0.966000,0.920000,0.960000,0.960000,44200
2018-12-07,1.100000,1.250000,1.005000,1.015000,1.015000,380500
2018-12-10,1.050000,1.080000,1.050000,1.050000,1.050000,106800
2018-12-11,1.051000,1.123000,1.050000,1.050000,1.050000,24700
2018-12-12,1.068000,1.120000,1.050000,1.065000,1.065000,45400
2018-12-13,1.091000,1.091000,0.972000,1.070000,1.070000,22100
2018-12-14,1.050000,1.070000,1.040000,1.070000,1.070000,33300
2018-12-17,1.110000,1.110000,1.031000,1.076000,1.076000,29600
2018-12-18,1.070000,1.100000,1.030000,1.090000,1.090000,28800
2018-12-19,1.110000,1.110000,1.055000,1.060000,1.060000,22600
2018-12-20,1.065000,1.065000,0.997000,1.000000,1.000000,21000
2018-12-21,1.005000,1.005000,0.951000,0.960000,0.960000,44300
2018-12-24,0.950000,0.990000,0.950000,0.955000,0.955000,5600
2018-12-26,0.980000,1.050000,0.960000,0.981000,0.981000,16500
2018-12-27,1.000000,1.000000,0.960000,0.980000,0.980000,14600
2018-12-28,0.955000,0.980000,0.920000,0.945000,0.945000,30100
2018-12-31,0.924000,0.980000,0.924000,0.930000,0.930000,24800
2019-01-02,0.941000,1.000000,0.940000,0.961000,0.961000,15300
2019-01-03,0.955000,1.000000,0.950000,0.950000,0.950000,15500
2019-01-04,0.940000,0.990000,0.940000,0.957000,0.957000,10100
2019-01-07,1.000000,1.000000,0.960000,0.976000,0.976000,16700
2019-01-08,0.970000,0.970000,0.950000,0.959000,0.959000,41100
2019-01-09,0.951000,1.000000,0.950000,0.994000,0.994000,9200
2019-01-10,0.950000,0.995000,0.950000,0.970000,0.970000,27500
2019-01-11,0.960000,0.986000,0.960000,0.986000,0.986000,5400
2019-01-14,0.990000,1.080000,0.955000,1.000000,1.000000,169900
2019-01-15,1.040000,1.076000,1.005000,1.035000,1.035000,45800
2019-01-16,1.044000,1.060000,1.010000,1.030000,1.030000,26000
2019-01-17,1.010000,1.140000,1.000000,1.127000,1.127000,167200
2019-01-18,1.100000,1.170000,1.050000,1.060000,1.060000,106100
2019-01-22,1.070000,1.140000,1.043000,1.120000,1.120000,109800
2019-01-23,1.120000,1.150000,1.100000,1.120000,1.120000,26400
2019-01-24,1.520000,1.620000,1.230000,1.320000,1.320000,7061800
2019-01-25,1.200000,1.217000,1.100000,1.180000,1.180000,357400
2019-01-28,1.160000,1.390000,1.160000,1.220000,1.220000,117700
2019-01-29,1.190000,1.290000,1.190000,1.190000,1.190000,255400
2019-01-30,1.200000,1.260000,1.200000,1.210000,1.210000,158400
2019-01-31,1.201000,1.209000,1.160000,1.194000,1.194000,127900
2019-02-01,1.190000,1.220000,1.170000,1.210000,1.210000,99400
2019-02-04,1.200000,1.220000,1.190000,1.190000,1.190000,95800
2019-02-05,1.190000,1.240000,1.190000,1.210000,1.210000,52400
2019-02-06,1.207000,1.207000,1.160000,1.170000,1.170000,42300
2019-02-07,1.170000,1.180000,1.110000,1.180000,1.180000,49100
2019-02-08,1.170000,1.180000,1.120000,1.120000,1.120000,23300
2019-02-11,1.131000,1.171000,1.120000,1.130000,1.130000,25400
2019-02-12,1.130000,1.170000,1.130000,1.130000,1.130000,24200
2019-02-13,1.160000,1.193000,1.121000,1.170000,1.170000,21800
2019-02-14,1.160000,1.160000,1.123000,1.150000,1.150000,24300
2019-02-15,1.130000,1.150000,1.130000,1.150000,1.150000,17100
2019-02-19,1.140000,1.180000,1.130000,1.130000,1.130000,25000
2019-02-20,1.144000,1.170000,1.132000,1.160000,1.160000,29700
2019-02-21,1.170000,1.210000,1.156000,1.171000,1.171000,36200
2019-02-22,1.220000,1.231000,1.150000,1.160000,1.160000,130300
2019-02-25,1.190000,1.428000,1.190000,1.370000,1.370000,815600
2019-02-26,1.320000,1.330000,1.190000,1.190000,1.190000,205100
2019-02-27,1.190000,1.220000,1.160000,1.194000,1.194000,49900
2019-02-28,1.160000,1.210000,1.160000,1.160000,1.160000,49100
2019-03-01,1.180000,1.260000,1.170000,1.191000,1.191000,106000
2019-03-04,1.230000,1.550000,1.229000,1.550000,1.550000,721000
2019-03-05,1.440000,1.532000,1.300000,1.320000,1.320000,413200
2019-03-06,1.310000,1.345000,1.210000,1.210000,1.210000,92800
2019-03-07,1.240000,1.270000,1.190000,1.230000,1.230000,61300
2019-03-08,1.206000,1.260000,1.190000,1.210000,1.210000,41500
2019-03-11,1.220000,1.290000,1.220000,1.270000,1.270000,38200
2019-03-12,1.270000,1.301000,1.240000,1.260000,1.260000,30300
2019-03-13,1.260000,1.270000,1.230000,1.270000,1.270000,88000
2019-03-14,1.280000,1.290000,1.230000,1.290000,1.290000,60300
2019-03-15,1.290000,1.290000,1.250000,1.250000,1.250000,13900
2019-03-18,1.250000,1.280000,1.240000,1.250000,1.250000,61900
2019-03-19,1.250000,1.310000,1.230000,1.280000,1.280000,83800
2019-03-20,1.290000,1.300000,1.280000,1.290000,1.290000,26900
2019-03-21,1.270000,1.300000,1.270000,1.290000,1.290000,78200
2019-03-22,1.270000,1.330000,1.250000,1.290000,1.290000,38800
2019-03-25,1.260000,1.300000,1.250000,1.270000,1.270000,21600
2019-03-26,1.270000,1.270000,1.230000,1.240000,1.240000,43500
2019-03-27,1.270000,1.315000,1.240000,1.270000,1.270000,78800
2019-03-28,1.380000,1.410000,1.230000,1.280000,1.280000,478900
2019-03-29,1.250000,1.283000,1.230000,1.250000,1.250000,68700
2019-04-01,1.250000,1.280000,1.240000,1.260000,1.260000,34100
2019-04-02,1.240000,1.270000,1.240000,1.240000,1.240000,25600
2019-04-03,1.250000,1.320000,1.244000,1.279000,1.279000,120200
2019-04-04,1.300000,1.320000,1.256000,1.260000,1.260000,54600
2019-04-05,1.300000,1.340000,1.271000,1.290000,1.290000,124000
2019-04-08,1.310000,1.310000,1.260000,1.300000,1.300000,76000
