Date,Open,High,Low,Close,Adj Close,Volume
2018-10-17,11.780000,11.860000,11.550000,11.840000,11.473462,6396600
2018-10-18,11.770000,11.810000,11.200000,11.480000,11.124606,13809400
2018-10-19,11.670000,11.700000,10.320000,11.050000,10.707919,35486800
2018-10-22,11.050000,11.460000,10.790000,11.340000,10.988942,13540100
2018-10-23,11.000000,11.270000,10.770000,11.190000,10.843584,11753900
2018-10-24,11.110000,11.260000,10.180000,10.190000,9.874541,15185400
2018-10-25,10.290000,10.630000,10.240000,10.480000,10.155563,7867200
2018-10-26,10.200000,10.360000,9.820000,10.090000,9.777638,15909800
2018-10-29,10.210000,10.350000,9.950000,10.070000,9.758257,7730200
2018-10-30,9.960000,10.210000,9.610000,10.100000,9.787329,8913300
2018-10-31,10.250000,10.770000,10.220000,10.760000,10.426897,9834800
2018-11-01,10.900000,10.970000,10.530000,10.680000,10.349374,9468900
2018-11-02,10.760000,10.880000,10.420000,10.730000,10.397825,8329700
2018-11-05,10.790000,11.280000,10.760000,10.950000,10.611013,8959800
2018-11-06,11.000000,11.030000,10.500000,10.550000,10.223398,8178300
2018-11-07,10.650000,10.900000,10.580000,10.810000,10.475349,4286500
2018-11-08,10.810000,10.820000,10.390000,10.440000,10.116803,4323400
2018-11-09,10.190000,10.370000,9.720000,9.830000,9.525687,10456100
2018-11-12,9.850000,10.150000,9.740000,10.000000,9.690425,7301800
2018-11-13,9.990000,10.420000,9.910000,10.400000,10.078041,9658400
2018-11-14,10.460000,10.590000,9.640000,9.770000,9.467545,11220200
2018-11-15,9.710000,10.050000,9.680000,10.030000,9.719495,6435000
2018-11-16,10.000000,10.380000,9.960000,10.300000,9.981137,5099300
2018-11-19,10.230000,10.250000,9.750000,9.960000,9.651663,6635300
2018-11-20,9.710000,9.800000,9.170000,9.420000,9.128380,11451200
2018-11-21,9.500000,9.710000,9.420000,9.500000,9.205903,6600200
2018-11-23,9.280000,9.300000,8.660000,8.780000,8.508192,9816500
2018-11-26,8.950000,9.090000,8.550000,8.670000,8.401598,16168900
2018-11-27,8.500000,8.920000,8.430000,8.880000,8.605098,9626300
2018-11-28,8.880000,9.430000,8.710000,9.370000,9.079926,11204200
2018-11-29,9.290000,9.480000,9.060000,9.440000,9.147760,7998900
2018-11-30,9.360000,9.490000,9.170000,9.280000,8.992714,7469200
2018-12-03,9.590000,9.740000,9.450000,9.600000,9.302808,6705600
2018-12-04,9.590000,9.710000,9.110000,9.140000,8.857048,5917200
2018-12-06,8.930000,9.030000,8.670000,9.030000,8.750452,8584900
2018-12-07,9.130000,9.290000,8.850000,8.930000,8.653548,6894000
2018-12-10,8.880000,8.930000,8.640000,8.820000,8.546954,9252100
2018-12-11,9.080000,9.080000,8.760000,9.000000,8.721381,7071600
2018-12-12,9.100000,9.100000,8.280000,8.370000,8.110884,16509900
2018-12-13,8.410000,8.500000,8.070000,8.230000,7.975218,9168400
2018-12-14,8.070000,8.390000,7.940000,8.010000,7.762030,8518700
2018-12-17,7.990000,8.370000,7.930000,7.970000,7.723268,8335300
2018-12-18,8.050000,8.410000,8.030000,8.370000,8.110884,8663500
2018-12-19,8.400000,8.530000,7.860000,7.960000,7.713578,8779100
2018-12-20,8.010000,8.200000,7.570000,7.820000,7.577911,9260400
2018-12-21,7.810000,8.010000,7.640000,7.680000,7.442245,9850800
2018-12-24,7.600000,7.680000,7.480000,7.570000,7.335651,4734400
