Date,Open,High,Low,Close,Adj Close,Volume
2018-10-17,8.050000,8.170000,7.560000,7.740000,7.740000,400800
2018-10-18,7.710000,7.780000,7.430000,7.500000,7.500000,293000
2018-10-19,7.500000,7.500000,7.260000,7.340000,7.340000,256900
2018-10-22,7.350000,7.450000,7.170000,7.180000,7.180000,179000
2018-10-23,7.130000,7.260000,6.910000,6.990000,6.990000,294000
2018-10-24,6.970000,7.120000,6.700000,7.080000,7.080000,463200
2018-10-25,7.110000,7.480000,6.970000,7.000000,7.000000,240700
2018-10-26,6.940000,7.180000,6.680000,7.140000,7.140000,296200
2018-10-29,7.200000,7.440000,6.870000,7.080000,7.080000,339000
2018-10-30,7.070000,7.230000,7.000000,7.130000,7.130000,211000
2018-10-31,7.170000,7.270000,6.710000,6.750000,6.750000,253900
2018-11-01,6.780000,7.200000,6.680000,7.050000,7.050000,292500
2018-11-02,6.990000,7.270000,6.710000,7.000000,7.000000,529700
2018-11-05,6.900000,6.930000,5.860000,6.270000,6.270000,808300
2018-11-06,6.110000,6.720000,6.110000,6.500000,6.500000,551600
2018-11-07,6.460000,6.790000,6.170000,6.740000,6.740000,627900
2018-11-08,6.790000,7.270000,6.770000,6.980000,6.980000,537600
2018-11-09,6.920000,7.080000,6.660000,6.920000,6.920000,360800
2018-11-12,6.580000,6.950000,6.380000,6.790000,6.790000,834900
2018-11-13,6.700000,7.040000,6.680000,6.870000,6.870000,781200
2018-11-14,6.830000,7.080000,6.580000,6.720000,6.720000,840900
2018-11-15,6.620000,6.760000,6.130000,6.300000,6.300000,981900
2018-11-16,6.280000,6.430000,6.060000,6.400000,6.400000,632700
2018-11-19,6.450000,6.820000,6.440000,6.770000,6.770000,472000
2018-11-20,6.690000,6.740000,6.420000,6.540000,6.540000,420000
2018-11-21,6.560000,6.820000,6.460000,6.700000,6.700000,246600
2018-11-23,6.670000,7.120000,6.670000,6.950000,6.950000,182300
2018-11-26,6.990000,7.230000,6.610000,6.930000,6.930000,706500
2018-11-27,6.930000,7.010000,6.800000,6.990000,6.990000,610500
2018-11-28,6.990000,7.190000,6.820000,7.100000,7.100000,344100
2018-11-29,7.110000,7.140000,6.710000,6.800000,6.800000,405400
2018-11-30,6.760000,6.930000,6.550000,6.870000,6.870000,516900
2018-12-03,6.890000,7.020000,6.760000,7.000000,7.000000,373600
2018-12-04,7.020000,7.140000,6.660000,6.780000,6.780000,727800
2018-12-06,6.970000,8.220000,6.960000,7.900000,7.900000,1994500
2018-12-07,7.900000,8.110000,7.280000,7.330000,7.330000,1095100
2018-12-10,7.460000,7.600000,6.690000,6.720000,6.720000,705000
2018-12-11,6.780000,6.840000,6.040000,6.310000,6.310000,736500
2018-12-12,6.350000,6.800000,6.300000,6.660000,6.660000,642700
2018-12-13,6.700000,6.700000,6.300000,6.360000,6.360000,536400
2018-12-14,6.300000,6.610000,6.250000,6.500000,6.500000,595300
2018-12-17,6.600000,6.820000,6.400000,6.590000,6.590000,482600
