Date,Open,High,Low,Close,Adj Close,Volume
2018-10-17,9.360000,10.020000,9.000000,9.240000,9.240000,11000
2018-10-18,9.384000,9.840000,8.952000,9.648000,9.648000,33800
2018-10-19,9.900000,10.200000,8.280000,8.520000,8.520000,22200
2018-10-22,8.940000,8.940000,8.100000,8.340000,8.340000,10800
2018-10-23,8.280000,9.840000,8.040000,8.346000,8.346000,8100
2018-10-24,8.754000,8.754000,8.220000,8.220000,8.220000,2200
2018-10-25,8.202000,8.520000,8.100000,8.220000,8.220000,4800
2018-10-26,8.640000,12.600000,8.466000,10.200000,10.200000,1057400
2018-10-29,9.600000,9.600000,8.340000,8.520000,8.520000,54800
2018-10-30,8.460000,8.880000,8.220000,8.400000,8.400000,11900
2018-10-31,8.340000,8.790000,8.340000,8.430000,8.430000,10900
2018-11-01,8.520000,9.132000,8.400000,9.000000,9.000000,9100
2018-11-02,9.000000,9.180000,8.760000,9.000000,9.000000,6900
2018-11-05,9.120000,9.840000,9.120000,9.300000,9.300000,11400
2018-11-06,9.702000,9.720000,9.300000,9.366000,9.366000,2300
2018-11-07,10.020000,10.020000,9.126000,9.360000,9.360000,9100
2018-11-08,9.120000,9.300000,8.778000,9.120000,9.120000,3000
2018-11-09,9.060000,9.720000,8.820000,8.820000,8.820000,6000
2018-11-12,8.760000,8.940000,8.280000,8.460000,8.460000,3300
2018-11-13,8.580000,8.802000,8.160000,8.160000,8.160000,9400
2018-11-14,8.340000,8.700000,8.100000,8.580000,8.580000,15100
2018-11-15,8.400000,8.940000,7.884000,7.920000,7.920000,8300
2018-11-16,7.980000,8.478000,7.920000,8.100000,8.100000,3200
2018-11-19,8.160000,8.280000,7.860000,8.082000,8.082000,4700
2018-11-20,7.860000,8.040000,7.380000,7.620000,7.620000,9800
2018-11-21,7.980000,8.040000,7.680000,7.680000,7.680000,1900
2018-11-23,7.680000,7.926000,7.680000,7.920000,7.920000,1900
2018-11-26,7.920000,11.700000,7.920000,8.562000,8.562000,214100
2018-11-27,8.400000,10.440000,8.244000,8.280000,8.280000,41600
2018-11-28,8.280000,8.562000,8.280000,8.280000,8.280000,5300
2018-11-29,8.418000,8.442000,8.100000,8.220000,8.220000,10500
2018-11-30,8.340000,9.300000,7.680000,8.400000,8.400000,9600
2018-12-03,8.796000,8.940000,8.460000,8.754000,8.754000,2800
2018-12-04,8.640000,8.700000,7.860000,8.340000,8.340000,3400
2018-12-06,8.580000,8.898000,7.680000,7.800000,7.800000,23200
2018-12-07,7.920000,7.980000,7.500000,7.704000,7.704000,10100
2018-12-10,8.100000,9.300000,7.440000,7.620000,7.620000,31600
2018-12-11,7.596000,7.800000,7.440000,7.560000,7.560000,5200
2018-12-12,7.500000,7.884000,7.500000,7.680000,7.680000,5900
2018-12-13,7.584000,8.028000,7.560000,7.620000,7.620000,4100
2018-12-14,7.842000,7.968000,7.560000,7.560000,7.560000,2700
2018-12-17,7.500000,7.800000,7.200000,7.200000,7.200000,4100
2018-12-18,7.200000,7.566000,7.200000,7.440000,7.440000,18400
2018-12-19,7.200000,7.662000,6.120000,6.180000,6.180000,36200
2018-12-20,6.540000,6.714000,5.850000,5.850000,5.850000,11800
2018-12-21,6.000000,6.300000,4.620000,4.860000,4.860000,22600
2018-12-24,4.440000,4.524000,3.720000,4.020000,4.020000,5800
2018-12-26,3.882000,5.028000,3.882000,4.560000,4.560000,6100
2018-12-27,4.800000,4.848000,4.380000,4.416000,4.416000,2100
2018-12-28,4.440000,4.974000,4.380000,4.680000,4.680000,7100
2018-12-31,4.800000,4.800000,4.380000,4.392000,4.392000,8400
2019-01-02,4.734000,4.758000,4.272000,4.440000,4.440000,2800
2019-01-03,4.548000,4.788000,3.900000,4.266000,4.266000,9400
2019-01-04,4.476000,4.758000,4.284000,4.500000,4.500000,11400
2019-01-07,8.400000,8.880000,6.300000,6.660000,6.660000,616200
2019-01-08,6.780000,6.960000,5.742000,6.780000,6.780000,135400
2019-01-09,6.780000,6.780000,6.000000,6.360000,6.360000,42000
2019-01-10,6.600000,6.780000,6.000000,6.780000,6.780000,27100
2019-01-11,6.660000,6.780000,6.120000,6.480000,6.480000,12600
