Date,Open,High,Low,Close,Adj Close,Volume
2018-10-17,6.890000,6.910000,6.730000,6.800000,6.800000,62200
2018-10-18,6.770000,6.860000,6.690000,6.710000,6.710000,62200
2018-10-19,6.660000,6.820000,6.600000,6.670000,6.670000,100400
2018-10-22,6.750000,6.850000,6.610000,6.660000,6.660000,177200
2018-10-23,6.620000,6.900000,6.610000,6.800000,6.800000,84000
2018-10-24,6.740000,6.740000,6.420000,6.450000,6.450000,145900
2018-10-25,6.410000,7.450000,6.410000,6.970000,6.970000,158400
2018-10-26,6.680000,6.800000,6.550000,6.620000,6.620000,174700
2018-10-29,6.670000,6.870000,6.600000,6.820000,6.820000,94700
2018-10-30,6.810000,7.070000,6.780000,7.020000,7.020000,116100
2018-10-31,7.090000,7.110000,6.710000,6.750000,6.750000,96300
2018-11-01,6.760000,6.940000,6.660000,6.710000,6.710000,73700
2018-11-02,6.710000,6.840000,6.690000,6.810000,6.810000,91300
2018-11-05,6.820000,6.960000,6.690000,6.820000,6.820000,69100
2018-11-06,6.820000,6.930000,6.730000,6.910000,6.910000,47900
2018-11-07,6.890000,7.030000,6.770000,6.940000,6.940000,107300
2018-11-08,6.930000,6.980000,6.870000,6.900000,6.900000,86300
2018-11-09,6.850000,7.030000,6.730000,6.730000,6.730000,57500
2018-11-12,6.700000,6.970000,6.660000,6.690000,6.690000,46000
2018-11-13,6.710000,6.920000,6.660000,6.860000,6.860000,80400
2018-11-14,6.930000,6.990000,6.640000,6.660000,6.660000,75300
2018-11-15,6.660000,6.800000,6.520000,6.770000,6.770000,64400
2018-11-16,6.710000,6.910000,6.630000,6.810000,6.810000,61000
2018-11-19,6.780000,6.840000,6.630000,6.660000,6.660000,58600
2018-11-20,6.630000,6.720000,6.540000,6.680000,6.680000,61400
2018-11-21,6.670000,6.810000,6.600000,6.630000,6.630000,45200
2018-11-23,6.550000,6.770000,6.550000,6.680000,6.680000,19700
2018-11-26,6.760000,6.890000,6.710000,6.800000,6.800000,67700
2018-11-27,6.840000,6.930000,6.820000,6.910000,6.910000,54300
2018-11-28,6.870000,7.440000,6.870000,7.400000,7.400000,159500
2018-11-29,7.400000,7.460000,7.260000,7.370000,7.370000,98000
2018-11-30,7.380000,7.600000,7.330000,7.550000,7.550000,225500
2018-12-03,7.760000,7.850000,7.320000,7.390000,7.390000,88900
2018-12-04,7.460000,7.460000,6.970000,7.030000,7.030000,99300
2018-12-06,6.950000,6.990000,6.740000,6.870000,6.870000,80900
2018-12-07,6.850000,6.980000,6.770000,6.840000,6.840000,84200
2018-12-10,6.850000,6.910000,6.710000,6.850000,6.850000,55700
2018-12-11,6.890000,6.930000,6.760000,6.870000,6.870000,50800
2018-12-12,6.980000,7.120000,6.870000,6.970000,6.970000,58900
2018-12-13,7.010000,7.110000,6.790000,6.860000,6.860000,66700
2018-12-14,6.850000,6.960000,6.570000,6.580000,6.580000,63700
2018-12-17,6.520000,6.780000,6.510000,6.570000,6.570000,80800
2018-12-18,6.640000,6.640000,6.430000,6.460000,6.460000,92500
2018-12-19,6.460000,6.530000,6.230000,6.250000,6.250000,184200
2018-12-20,6.250000,6.420000,6.050000,6.140000,6.140000,223000
2018-12-21,6.080000,6.210000,6.060000,6.100000,6.100000,204500
2018-12-24,6.050000,6.580000,5.900000,5.920000,5.920000,64400
2018-12-26,5.950000,6.180000,5.850000,6.160000,6.160000,111600
2018-12-27,6.060000,6.220000,5.930000,5.960000,5.960000,222200
2018-12-28,5.990000,6.190000,5.990000,6.080000,6.080000,99800
2018-12-31,6.100000,6.370000,5.950000,5.970000,5.970000,193600
2019-01-02,5.920000,6.550000,5.850000,6.400000,6.400000,93900
2019-01-03,6.330000,6.350000,6.210000,6.220000,6.220000,69800
2019-01-04,6.320000,6.450000,6.200000,6.300000,6.300000,117900
2019-01-07,6.310000,6.430000,6.310000,6.380000,6.380000,55400
2019-01-08,6.430000,6.520000,6.330000,6.350000,6.350000,82600
2019-01-09,6.360000,6.370000,6.250000,6.300000,6.300000,76500
2019-01-10,6.280000,6.320000,6.160000,6.230000,6.230000,44700
2019-01-11,6.200000,6.210000,6.030000,6.130000,6.130000,164400
2019-01-14,6.100000,6.290000,6.050000,6.060000,6.060000,79300
2019-01-15,6.060000,6.190000,5.980000,6.040000,6.040000,95000
2019-01-16,6.050000,6.190000,6.050000,6.170000,6.170000,128500
2019-01-17,6.190000,6.430000,6.190000,6.350000,6.350000,88700
2019-01-18,6.320000,6.410000,6.270000,6.350000,6.350000,71100
2019-01-22,6.310000,6.400000,6.150000,6.300000,6.300000,146300
2019-01-23,6.300000,6.360000,6.170000,6.300000,6.300000,168300
2019-01-24,6.310000,6.530000,6.310000,6.470000,6.470000,346800
2019-01-25,6.500000,6.530000,6.430000,6.500000,6.500000,201300
2019-01-28,6.500000,6.700000,6.130000,6.160000,6.160000,380200
2019-01-29,6.150000,6.160000,5.900000,6.000000,6.000000,373000
2019-01-30,6.060000,6.060000,5.900000,5.920000,5.920000,124500
2019-01-31,5.900000,6.000000,5.820000,5.900000,5.900000,156700
2019-02-01,5.900000,6.140000,5.900000,6.100000,6.100000,101700
2019-02-04,6.100000,6.280000,5.980000,6.270000,6.270000,60700
2019-02-05,6.250000,6.360000,6.180000,6.330000,6.330000,83100
2019-02-06,6.300000,6.480000,6.300000,6.480000,6.480000,71900
2019-02-07,6.500000,6.560000,6.400000,6.510000,6.510000,91500
2019-02-08,6.520000,6.580000,6.410000,6.470000,6.470000,60200
2019-02-11,6.460000,6.520000,6.390000,6.460000,6.460000,57300
2019-02-12,6.530000,6.570000,6.500000,6.550000,6.550000,70000
2019-02-13,6.550000,6.550000,6.370000,6.540000,6.540000,53700
2019-02-14,6.530000,6.550000,6.470000,6.470000,6.470000,67000
2019-02-15,6.490000,6.590000,6.490000,6.540000,6.540000,85200
2019-02-19,6.540000,6.620000,6.540000,6.600000,6.600000,62100
2019-02-20,6.630000,6.630000,6.570000,6.590000,6.590000,124100
2019-02-21,6.610000,6.650000,6.480000,6.570000,6.570000,127700
2019-02-22,6.580000,6.600000,6.520000,6.550000,6.550000,127600
2019-02-25,6.520000,6.730000,6.490000,6.510000,6.510000,89800
2019-02-26,6.500000,6.590000,6.470000,6.500000,6.500000,80000
2019-02-27,6.510000,6.510000,6.370000,6.390000,6.390000,318000
2019-02-28,6.420000,6.490000,6.370000,6.400000,6.400000,91700
2019-03-01,6.430000,6.530000,6.320000,6.380000,6.380000,87600
2019-03-04,6.340000,6.440000,6.270000,6.300000,6.300000,50300
2019-03-05,6.260000,6.380000,6.260000,6.340000,6.340000,57100
2019-03-06,6.350000,6.350000,5.990000,6.000000,6.000000,59000
2019-03-07,6.010000,6.090000,5.800000,5.830000,5.830000,168800
2019-03-08,5.800000,5.990000,5.780000,5.910000,5.910000,79100
2019-03-11,5.960000,6.140000,5.910000,6.130000,6.130000,62200
2019-03-12,6.130000,6.190000,5.980000,5.990000,5.990000,44700
2019-03-13,6.010000,6.130000,5.980000,5.980000,5.980000,55100
2019-03-14,5.980000,6.140000,5.900000,5.970000,5.970000,70500
2019-03-15,5.960000,5.960000,5.880000,5.910000,5.910000,212100
2019-03-18,5.910000,5.980000,5.870000,5.920000,5.920000,124100
