Date,Open,High,Low,Close,Adj Close,Volume
2018-10-17,2.650000,2.840000,2.500000,2.780000,2.780000,2081500
2018-10-18,2.780000,3.130000,2.750000,2.910000,2.910000,2391200
2018-10-19,2.900000,3.230000,2.810000,3.190000,3.190000,2498800
2018-10-22,3.170000,3.410000,2.900000,2.940000,2.940000,1697600
2018-10-23,2.760000,2.880000,2.620000,2.630000,2.630000,1608700
2018-10-24,2.710000,2.830000,2.540000,2.640000,2.640000,1003600
2018-10-25,2.630000,2.630000,2.350000,2.550000,2.550000,1385100
2018-10-26,2.520000,2.550000,2.410000,2.460000,2.460000,529100
2018-10-29,2.540000,2.780000,2.480000,2.560000,2.560000,2233600
2018-10-30,2.560000,2.670000,2.530000,2.610000,2.610000,1103600
2018-10-31,2.610000,2.790000,2.570000,2.740000,2.740000,432700
2018-11-01,2.750000,2.890000,2.720000,2.850000,2.850000,604200
2018-11-02,2.830000,3.060000,2.830000,3.010000,3.010000,913400
2018-11-05,3.000000,3.370000,3.000000,3.130000,3.130000,1239800
2018-11-06,3.130000,3.260000,3.060000,3.150000,3.150000,441500
2018-11-07,3.180000,3.290000,3.060000,3.130000,3.130000,471900
2018-11-08,3.110000,3.300000,3.010000,3.240000,3.240000,573600
2018-11-09,3.240000,3.470000,3.160000,3.430000,3.430000,1488800
2018-11-12,3.430000,3.580000,3.340000,3.440000,3.440000,826300
2018-11-13,3.440000,3.520000,3.310000,3.330000,3.330000,427300
2018-11-14,3.400000,3.440000,3.180000,3.190000,3.190000,427500
2018-11-15,3.180000,3.250000,3.020000,3.170000,3.170000,497200
2018-11-16,3.150000,3.310000,3.130000,3.220000,3.220000,337500
2018-11-19,3.200000,3.290000,3.070000,3.130000,3.130000,326600
2018-11-20,3.030000,3.110000,2.930000,3.050000,3.050000,321000
2018-11-21,3.090000,3.170000,2.990000,3.000000,3.000000,260800
2018-11-23,3.000000,3.080000,2.960000,2.970000,2.970000,139300
2018-11-26,2.990000,3.040000,2.890000,2.910000,2.910000,323300
2018-11-27,2.910000,3.000000,2.890000,2.910000,2.910000,205900
2018-11-28,2.930000,3.250000,2.890000,3.080000,3.080000,690100
2018-11-29,3.100000,3.210000,2.960000,2.980000,2.980000,415400
2018-11-30,2.980000,3.040000,2.880000,2.920000,2.920000,857300
2018-12-03,2.970000,2.970000,2.810000,2.860000,2.860000,716200
2018-12-04,2.850000,2.930000,2.600000,2.610000,2.610000,526400
2018-12-06,2.550000,2.700000,2.530000,2.670000,2.670000,289900
2018-12-07,2.670000,2.750000,2.570000,2.680000,2.680000,195000
2018-12-10,2.670000,2.730000,2.520000,2.650000,2.650000,211000
2018-12-11,2.660000,2.680000,2.440000,2.540000,2.540000,577400
2018-12-12,2.570000,2.610000,2.480000,2.520000,2.520000,222000
2018-12-13,2.230000,2.230000,1.810000,1.980000,1.980000,1929300
2018-12-14,1.990000,1.990000,1.830000,1.880000,1.880000,407200
2018-12-17,1.890000,1.920000,1.780000,1.840000,1.840000,531300
2018-12-18,1.850000,2.040000,1.790000,2.000000,2.000000,697200
2018-12-19,1.990000,2.120000,1.920000,2.070000,2.070000,478000
2018-12-20,2.090000,2.140000,1.780000,1.800000,1.800000,733500
2018-12-21,1.800000,1.900000,1.770000,1.790000,1.790000,465300
2018-12-24,1.810000,1.810000,1.630000,1.740000,1.740000,390700
2018-12-26,1.750000,1.880000,1.680000,1.790000,1.790000,686600
2018-12-27,1.780000,1.870000,1.710000,1.860000,1.860000,554500
2018-12-28,1.870000,1.950000,1.830000,1.870000,1.870000,530100
2018-12-31,1.900000,1.960000,1.830000,1.890000,1.890000,493400
2019-01-02,1.880000,2.230000,1.830000,2.140000,2.140000,526500
2019-01-03,2.130000,2.340000,2.020000,2.180000,2.180000,612700
2019-01-04,2.200000,2.420000,2.160000,2.330000,2.330000,386400
2019-01-07,2.330000,2.510000,2.270000,2.430000,2.430000,564700
2019-01-08,2.450000,2.710000,2.430000,2.650000,2.650000,484900
2019-01-09,2.650000,2.750000,2.550000,2.620000,2.620000,480500
2019-01-10,2.590000,2.770000,2.550000,2.720000,2.720000,346500
2019-01-11,2.720000,2.830000,2.660000,2.690000,2.690000,533600
2019-01-14,2.660000,2.850000,2.640000,2.650000,2.650000,383000
2019-01-15,2.670000,2.830000,2.640000,2.780000,2.780000,365000
2019-01-16,2.770000,2.890000,2.760000,2.840000,2.840000,253800
2019-01-17,2.850000,2.930000,2.780000,2.870000,2.870000,353400
2019-01-18,2.880000,2.970000,2.760000,2.770000,2.770000,336900
2019-01-22,2.760000,2.880000,2.700000,2.770000,2.770000,222900
2019-01-23,2.780000,2.810000,2.620000,2.620000,2.620000,386600
2019-01-24,2.630000,2.810000,2.620000,2.780000,2.780000,295100
2019-01-25,2.790000,2.830000,2.720000,2.740000,2.740000,333500
2019-01-28,2.690000,2.780000,2.690000,2.760000,2.760000,81200
2019-01-29,2.770000,2.770000,2.650000,2.680000,2.680000,157800
2019-01-30,2.690000,2.690000,2.550000,2.650000,2.650000,262400
2019-01-31,2.780000,2.810000,2.730000,2.780000,2.780000,342600
2019-02-01,2.800000,2.930000,2.800000,2.880000,2.880000,227200
2019-02-04,2.880000,3.050000,2.880000,3.030000,3.030000,276500
2019-02-05,3.060000,3.190000,3.040000,3.070000,3.070000,232500
2019-02-06,3.080000,3.080000,2.930000,2.990000,2.990000,183500
2019-02-07,2.950000,3.030000,2.870000,3.000000,3.000000,153300
2019-02-08,2.980000,3.080000,2.980000,3.000000,3.000000,102000
2019-02-11,2.990000,3.250000,2.950000,3.140000,3.140000,264400
2019-02-12,3.150000,3.220000,3.060000,3.100000,3.100000,153800
2019-02-13,3.130000,3.170000,2.980000,2.980000,2.980000,604000
2019-02-14,2.970000,3.030000,2.890000,2.900000,2.900000,222400
2019-02-15,2.900000,3.030000,2.840000,2.960000,2.960000,220100
2019-02-19,2.970000,3.070000,2.960000,3.030000,3.030000,205000
2019-02-20,3.020000,3.080000,3.000000,3.030000,3.030000,159900
2019-02-21,3.030000,3.070000,2.960000,2.980000,2.980000,178200
2019-02-22,2.990000,3.010000,2.880000,2.890000,2.890000,229400
2019-02-25,2.900000,3.010000,2.900000,2.970000,2.970000,111500
2019-02-26,2.970000,3.030000,2.900000,2.980000,2.980000,85300
2019-02-27,2.960000,3.010000,2.950000,2.970000,2.970000,98600
2019-02-28,2.970000,2.970000,2.870000,2.930000,2.930000,186500
2019-03-01,2.920000,3.060000,2.920000,2.990000,2.990000,236600
2019-03-04,3.010000,3.030000,2.890000,3.000000,3.000000,250000
2019-03-05,3.000000,3.040000,2.950000,2.990000,2.990000,127200
2019-03-06,2.990000,2.990000,2.890000,2.920000,2.920000,161800
2019-03-07,2.910000,3.020000,2.880000,3.000000,3.000000,130200
2019-03-08,2.990000,3.040000,2.910000,2.980000,2.980000,154100
2019-03-11,3.010000,3.030000,2.960000,2.990000,2.990000,110400
2019-03-12,2.990000,3.130000,2.990000,3.090000,3.090000,342800
2019-03-13,3.110000,3.290000,3.110000,3.190000,3.190000,578200
2019-03-14,3.210000,3.380000,3.200000,3.290000,3.290000,314900
2019-03-15,3.290000,3.300000,2.750000,2.750000,2.750000,836000
2019-03-18,2.790000,2.920000,2.710000,2.780000,2.780000,275400
2019-03-19,2.800000,2.880000,2.760000,2.770000,2.770000,143900
2019-03-20,2.780000,2.850000,2.610000,2.660000,2.660000,219700
2019-03-21,2.660000,2.700000,2.630000,2.640000,2.640000,81600
2019-03-22,2.620000,2.650000,2.550000,2.650000,2.650000,136400
2019-03-25,2.650000,2.670000,2.620000,2.660000,2.660000,113500
2019-03-26,2.670000,2.720000,2.600000,2.630000,2.630000,142900
2019-03-27,2.640000,2.640000,2.450000,2.580000,2.580000,292200
2019-03-28,2.620000,2.640000,2.520000,2.600000,2.600000,149700
2019-03-29,2.610000,2.640000,2.420000,2.470000,2.470000,235100
2019-04-01,2.510000,2.550000,2.400000,2.510000,2.510000,175900
2019-04-02,2.510000,2.540000,2.350000,2.370000,2.370000,276900
2019-04-03,2.370000,2.400000,2.160000,2.190000,2.190000,525700
2019-04-04,2.180000,2.260000,2.150000,2.180000,2.180000,548000
2019-04-05,2.210000,2.230000,2.110000,2.140000,2.140000,323000
2019-04-08,2.070000,2.240000,1.900000,2.060000,2.060000,1782000
2019-04-09,2.030000,2.060000,1.990000,1.990000,1.990000,196600
2019-04-10,2.070000,2.130000,1.900000,2.090000,2.090000,1187800
2019-04-11,2.120000,2.200000,1.910000,1.990000,1.990000,982700
2019-04-12,1.990000,1.990000,1.790000,1.830000,1.830000,863500
2019-04-15,1.830000,1.900000,1.570000,1.820000,1.820000,1784400
2019-04-16,1.830000,1.840000,1.630000,1.710000,1.710000,614200
2019-04-17,1.740000,1.790000,1.580000,1.650000,1.650000,506500
2019-04-18,1.650000,1.740000,1.530000,1.670000,1.670000,1292000
2019-04-22,1.670000,1.670000,1.500000,1.530000,1.530000,851700
2019-04-23,1.520000,1.670000,1.500000,1.650000,1.650000,1443600
2019-04-24,1.660000,1.710000,1.550000,1.560000,1.560000,625300
2019-04-25,1.570000,1.660000,1.530000,1.600000,1.600000,1372000
2019-04-26,1.590000,1.590000,1.520000,1.560000,1.560000,490000
2019-04-29,1.540000,1.570000,1.530000,1.540000,1.540000,539400
2019-04-30,1.560000,1.580000,1.420000,1.460000,1.460000,1099100
2019-05-01,1.500000,1.500000,1.390000,1.400000,1.400000,599400
2019-05-02,1.400000,1.400000,1.250000,1.310000,1.310000,977300
2019-05-03,1.300000,1.410000,1.300000,1.380000,1.380000,498400
2019-05-06,0.720000,0.750000,0.550000,0.640000,0.640000,11055900
2019-05-07,0.610000,0.630000,0.580000,0.610000,0.610000,1426000
2019-05-08,0.580000,0.700000,0.580000,0.600000,0.600000,7982100
2019-05-09,0.620000,0.640000,0.580000,0.610000,0.610000,1471800
2019-05-10,0.620000,0.620000,0.570000,0.590000,0.590000,1178500
2019-05-13,0.590000,0.590000,0.480000,0.540000,0.540000,1507000
2019-05-14,0.500000,0.600000,0.500000,0.590000,0.590000,1264500
2019-05-15,0.590000,0.630000,0.560000,0.590000,0.590000,1435100
2019-05-16,0.560000,0.580000,0.430000,0.460000,0.460000,3039100
2019-05-17,0.450000,0.490000,0.430000,0.450000,0.450000,1068400
2019-05-20,0.440000,0.450000,0.420000,0.430000,0.430000,654800
2019-05-21,0.450000,0.530000,0.420000,0.480000,0.480000,899800
2019-05-22,0.490000,0.490000,0.450000,0.450000,0.450000,734000
2019-05-23,0.460000,0.470000,0.430000,0.450000,0.450000,259300
2019-05-24,0.470000,0.490000,0.430000,0.490000,0.490000,485400
2019-05-28,0.480000,0.530000,0.450000,0.450000,0.450000,757200
2019-05-29,0.460000,0.460000,0.410000,0.420000,0.420000,752700
2019-05-30,0.410000,0.410000,0.380000,0.400000,0.400000,881100
2019-05-31,0.410000,0.410000,0.390000,0.400000,0.400000,469500
2019-06-03,0.400000,0.410000,0.380000,0.390000,0.390000,461500
2019-06-04,0.400000,0.420000,0.380000,0.410000,0.410000,963000
2019-06-05,0.430000,0.570000,0.400000,0.470000,0.470000,5552300
2019-06-06,0.470000,0.480000,0.420000,0.450000,0.450000,969000
2019-06-07,0.440000,0.480000,0.390000,0.410000,0.410000,1314500
2019-06-10,0.400000,0.430000,0.400000,0.410000,0.410000,337700
2019-06-11,0.420000,0.450000,0.410000,0.420000,0.420000,1040700
2019-06-12,0.440000,0.440000,0.380000,0.400000,0.400000,790900
2019-06-13,0.380000,0.420000,0.380000,0.410000,0.410000,390500
2019-06-14,0.410000,0.450000,0.390000,0.390000,0.390000,271500
2019-06-17,0.400000,0.410000,0.350000,0.380000,0.380000,736000
2019-06-18,0.380000,0.390000,0.370000,0.370000,0.370000,366300
2019-06-19,0.360000,0.390000,0.330000,0.360000,0.360000,645100
2019-06-20,0.360000,0.390000,0.340000,0.380000,0.380000,433000
2019-06-21,0.390000,0.400000,0.340000,0.370000,0.370000,452900
2019-06-24,0.360000,0.360000,0.330000,0.340000,0.340000,361400
2019-06-25,0.340000,0.360000,0.330000,0.340000,0.340000,281700
2019-06-26,0.360000,0.390000,0.340000,0.370000,0.370000,373000
2019-06-27,0.370000,0.580000,0.370000,0.540000,0.540000,4260400
2019-06-28,0.560000,0.560000,0.460000,0.490000,0.490000,2178000
2019-07-01,0.500000,0.610000,0.470000,0.580000,0.580000,2463300
2019-07-02,0.600000,0.600000,0.510000,0.570000,0.570000,1144400
2019-07-03,0.550000,0.560000,0.520000,0.540000,0.540000,339400
2019-07-05,0.530000,0.580000,0.520000,0.530000,0.530000,376600
2019-07-08,0.530000,0.560000,0.520000,0.530000,0.530000,487000
2019-07-09,0.520000,0.540000,0.410000,0.450000,0.450000,1152600
2019-07-10,0.410000,0.460000,0.410000,0.430000,0.430000,518100
2019-07-11,0.430000,0.460000,0.420000,0.430000,0.430000,449300
2019-07-12,0.430000,0.440000,0.380000,0.400000,0.400000,691000
2019-07-15,0.390000,0.440000,0.390000,0.440000,0.440000,392700
2019-07-16,0.420000,0.440000,0.410000,0.420000,0.420000,238900
2019-07-17,0.410000,0.440000,0.410000,0.440000,0.440000,228500
2019-07-18,0.440000,0.440000,0.400000,0.420000,0.420000,72600
2019-07-19,0.410000,0.440000,0.390000,0.420000,0.420000,483200
2019-07-22,0.430000,0.430000,0.400000,0.420000,0.420000,301300
2019-07-23,0.450000,0.450000,0.360000,0.370000,0.370000,388800
2019-07-24,0.390000,0.400000,0.370000,0.380000,0.380000,608100
2019-07-25,0.370000,0.380000,0.360000,0.370000,0.370000,108500
2019-07-26,0.370000,0.380000,0.350000,0.360000,0.360000,249100
2019-07-29,0.370000,0.390000,0.370000,0.370000,0.370000,100500
2019-07-30,0.390000,0.390000,0.360000,0.360000,0.360000,323300
2019-07-31,0.360000,0.370000,0.300000,0.340000,0.340000,525500
2019-08-01,0.350000,0.380000,0.330000,0.340000,0.340000,127800
2019-08-02,0.340000,0.350000,0.310000,0.340000,0.340000,227000
2019-08-05,0.340000,0.340000,0.300000,0.320000,0.320000,214000
2019-08-06,0.310000,0.320000,0.300000,0.310000,0.310000,242100
2019-08-07,0.310000,0.380000,0.310000,0.350000,0.350000,400100
2019-08-08,0.340000,0.350000,0.320000,0.340000,0.340000,145900
2019-08-09,0.340000,0.350000,0.320000,0.330000,0.330000,201300
2019-08-12,0.340000,0.360000,0.320000,0.330000,0.330000,141100
2019-08-13,0.330000,0.350000,0.320000,0.340000,0.340000,217700
2019-08-14,0.300000,0.330000,0.300000,0.320000,0.320000,74300
2019-08-15,0.320000,0.330000,0.290000,0.310000,0.310000,323000
2019-08-16,0.310000,0.320000,0.300000,0.310000,0.310000,136700
2019-08-19,0.310000,0.320000,0.300000,0.310000,0.310000,109900
2019-08-20,0.300000,0.340000,0.300000,0.330000,0.330000,265600
2019-08-21,0.320000,0.360000,0.310000,0.310000,0.310000,753400
2019-08-22,0.320000,0.330000,0.310000,0.320000,0.320000,119500
2019-08-23,0.310000,0.330000,0.290000,0.310000,0.310000,174100
2019-08-26,0.310000,0.320000,0.280000,0.300000,0.300000,146300
2019-08-27,0.300000,0.300000,0.270000,0.280000,0.280000,108700
2019-08-28,0.290000,0.300000,0.280000,0.290000,0.290000,110700
2019-08-29,0.300000,0.300000,0.280000,0.280000,0.280000,231800
2019-08-30,0.300000,0.310000,0.280000,0.280000,0.280000,93500
2019-09-03,0.280000,0.280000,0.260000,0.270000,0.270000,389400
2019-09-04,0.270000,0.290000,0.260000,0.270000,0.270000,252800
