Date,Open,High,Low,Close,Adj Close,Volume
2019-02-14,28.850000,28.850000,28.850000,28.850000,28.850000,0
2019-02-15,29.049999,29.049999,29.049999,29.049999,29.049999,0
2019-02-19,29.020000,29.020000,29.020000,29.020000,29.020000,0
2019-02-20,28.959999,28.959999,28.959999,28.959999,28.959999,0
2019-02-21,28.870001,28.870001,28.870001,28.870001,28.870001,0
2019-02-22,29.209999,29.209999,29.209999,29.209999,29.209999,0
2019-02-25,29.219999,29.219999,29.219999,29.219999,29.219999,0
2019-02-26,29.280001,29.280001,29.280001,29.280001,29.280001,0
2019-02-27,29.389999,29.389999,29.389999,29.389999,29.389999,0
2019-02-28,29.370001,29.370001,29.370001,29.370001,29.370001,0
2019-03-01,29.680000,29.680000,29.680000,29.680000,29.680000,0
2019-03-04,29.430000,29.430000,29.430000,29.430000,29.430000,0
2019-03-05,29.389999,29.389999,29.389999,29.389999,29.389999,0
2019-03-06,29.200001,29.200001,29.200001,29.200001,29.200001,0
2019-03-07,28.980000,28.980000,28.980000,28.980000,28.980000,0
2019-03-08,28.920000,28.920000,28.920000,28.920000,28.920000,0
2019-03-11,29.440001,29.440001,29.440001,29.440001,29.440001,0
2019-03-12,29.559999,29.559999,29.559999,29.559999,29.559999,0
2019-03-13,29.760000,29.760000,29.760000,29.760000,29.760000,0
2019-03-14,29.750000,29.750000,29.750000,29.750000,29.750000,0
2019-03-15,29.840000,29.840000,29.840000,29.840000,29.840000,0
2019-03-18,29.959999,29.959999,29.959999,29.959999,29.959999,0
2019-03-19,30.030001,30.030001,30.030001,30.030001,30.030001,0
2019-03-20,30.020000,30.020000,30.020000,30.020000,30.020000,0
2019-03-21,30.510000,30.510000,30.510000,30.510000,30.510000,0
2019-03-22,29.860001,29.860001,29.860001,29.860001,29.860001,0
2019-03-25,29.910000,29.910000,29.910000,29.910000,29.910000,0
2019-03-26,30.040001,30.040001,30.040001,30.040001,30.040001,0
2019-03-27,29.840000,29.840000,29.840000,29.840000,29.840000,0
2019-03-28,null,null,null,null,null,null
2019-03-29,null,null,null,null,null,null
2019-04-01,null,null,null,null,null,null
2019-04-02,null,null,null,null,null,null
2019-04-03,null,null,null,null,null,null
2019-04-04,null,null,null,null,null,null
2019-04-05,null,null,null,null,null,null
2019-04-08,null,null,null,null,null,null
2019-04-09,null,null,null,null,null,null
2019-04-10,null,null,null,null,null,null
2019-04-11,null,null,null,null,null,null
2019-04-12,null,null,null,null,null,null
2019-04-15,null,null,null,null,null,null
2019-04-16,null,null,null,null,null,null
2019-04-17,null,null,null,null,null,null
2019-04-18,null,null,null,null,null,null
2019-04-22,null,null,null,null,null,null
2019-04-23,null,null,null,null,null,null
2019-04-24,null,null,null,null,null,null
2019-04-25,null,null,null,null,null,null
2019-04-26,null,null,null,null,null,null
2019-04-29,null,null,null,null,null,null
2019-04-30,null,null,null,null,null,null
2019-05-01,null,null,null,null,null,null
2019-05-02,31.309999,31.309999,31.309999,31.309999,31.309999,0
2019-05-03,31.670000,31.670000,31.670000,31.670000,31.670000,0
2019-05-06,null,null,null,null,null,null
2019-05-07,null,null,null,null,null,null
2019-05-08,null,null,null,null,null,null
2019-05-09,null,null,null,null,null,null
2019-05-10,null,null,null,null,null,null
2019-05-13,null,null,null,null,null,null
2019-05-14,null,null,null,null,null,null
2019-05-15,null,null,null,null,null,null
2019-05-16,null,null,null,null,null,null
2019-05-17,31.330000,31.330000,31.330000,31.330000,31.330000,0
2019-05-20,31.129999,31.129999,31.129999,31.129999,31.129999,0
2019-05-21,31.379999,31.379999,31.379999,31.379999,31.379999,0
2019-05-22,31.389999,31.389999,31.389999,31.389999,31.389999,0
2019-05-23,30.940001,30.940001,30.940001,30.940001,30.940001,0
2019-05-24,31.059999,31.059999,31.059999,31.059999,31.059999,0
2019-05-28,31.090000,31.090000,31.090000,31.090000,31.090000,0
2019-05-29,30.860001,30.860001,30.860001,30.860001,30.860001,0
2019-05-30,31.000000,31.000000,31.000000,31.000000,31.000000,0
2019-05-31,null,null,null,null,null,null
2019-06-03,29.959999,29.959999,29.959999,29.959999,29.959999,0
2019-06-04,30.690001,30.690001,30.690001,30.690001,30.690001,0
2019-06-05,31.190001,31.190001,31.190001,31.190001,31.190001,0
