Date,Open,High,Low,Close,Adj Close,Volume
2018-10-17,5.060000,5.170000,4.860000,5.000000,5.000000,134900
2018-10-18,4.970000,5.020000,4.750000,4.850000,4.850000,297100
2018-10-19,4.840000,4.970000,4.550000,4.600000,4.600000,368800
2018-10-22,4.570000,4.710000,4.320000,4.400000,4.400000,397500
2018-10-23,4.300000,4.420000,4.230000,4.400000,4.400000,183900
2018-10-24,4.400000,4.550000,4.150000,4.150000,4.150000,194700
2018-10-25,4.170000,4.490000,4.160000,4.250000,4.250000,186900
2018-10-26,4.220000,4.240000,3.950000,4.000000,4.000000,425500
2018-10-29,4.070000,5.000000,4.000000,4.660000,4.660000,1968600
2018-10-30,4.640000,4.800000,4.500000,4.610000,4.610000,407900
2018-10-31,4.810000,4.900000,4.670000,4.810000,4.810000,432000
2018-11-01,4.870000,4.930000,4.670000,4.800000,4.800000,310800
2018-11-02,4.910000,5.000000,4.810000,4.990000,4.990000,244600
2018-11-05,5.000000,5.500000,4.950000,5.350000,5.350000,685400
2018-11-06,5.360000,5.370000,5.050000,5.190000,5.190000,499900
2018-11-07,5.220000,5.290000,4.930000,5.130000,5.130000,347600
2018-11-08,5.100000,5.320000,5.050000,5.260000,5.260000,402800
2018-11-09,4.780000,4.800000,4.500000,4.710000,4.710000,682900
2018-11-12,4.630000,4.760000,4.510000,4.600000,4.600000,200100
2018-11-13,4.610000,4.760000,4.540000,4.610000,4.610000,198600
2018-11-14,4.640000,4.750000,4.550000,4.610000,4.610000,169400
2018-11-15,4.570000,4.720000,4.550000,4.660000,4.660000,185000
2018-11-16,4.640000,4.730000,4.560000,4.600000,4.600000,133000
2018-11-19,4.590000,4.710000,4.300000,4.400000,4.400000,492600
2018-11-20,4.230000,4.340000,4.170000,4.260000,4.260000,285900
2018-11-21,4.300000,4.530000,4.300000,4.500000,4.500000,141300
2018-11-23,4.460000,4.630000,4.460000,4.490000,4.490000,128400
2018-11-26,4.500000,4.570000,4.430000,4.430000,4.430000,112500
2018-11-27,4.490000,4.490000,4.300000,4.360000,4.360000,122700
2018-11-28,4.370000,4.570000,4.360000,4.520000,4.520000,209100
2018-11-29,4.500000,4.610000,4.430000,4.510000,4.510000,106000
2018-11-30,4.500000,4.560000,4.460000,4.470000,4.470000,100500
2018-12-03,4.600000,4.770000,4.550000,4.710000,4.710000,295800
2018-12-04,4.710000,4.710000,4.420000,4.500000,4.500000,184100
2018-12-06,4.400000,4.400000,4.200000,4.240000,4.240000,271700
2018-12-07,4.250000,4.330000,4.200000,4.270000,4.270000,152500
2018-12-10,4.260000,4.300000,4.100000,4.140000,4.140000,176800
2018-12-11,4.180000,4.330000,4.150000,4.180000,4.180000,167300
2018-12-12,4.140000,4.370000,4.140000,4.290000,4.290000,286600
2018-12-13,4.300000,4.440000,4.170000,4.220000,4.220000,193200
2018-12-14,4.200000,4.280000,4.180000,4.240000,4.240000,52200
2018-12-17,4.230000,4.270000,4.050000,4.080000,4.080000,270700
2018-12-18,4.120000,4.170000,4.030000,4.130000,4.130000,193900
2018-12-19,4.160000,4.220000,4.000000,4.010000,4.010000,211300
2018-12-20,4.000000,4.070000,3.800000,3.870000,3.870000,392000
2018-12-21,3.800000,3.850000,3.610000,3.620000,3.620000,354800
2018-12-24,3.620000,3.720000,3.540000,3.720000,3.720000,116400
2018-12-26,3.820000,3.900000,3.610000,3.820000,3.820000,252200
2018-12-27,3.850000,3.850000,3.700000,3.740000,3.740000,162500
2018-12-28,3.840000,3.850000,3.680000,3.740000,3.740000,198400
2018-12-31,3.740000,3.740000,3.550000,3.630000,3.630000,449900
2019-01-02,3.610000,4.240000,3.610000,4.150000,4.150000,400300
2019-01-03,4.070000,4.320000,4.020000,4.170000,4.170000,191000
2019-01-04,4.330000,4.540000,4.210000,4.400000,4.400000,166900
2019-01-07,4.410000,4.660000,4.410000,4.530000,4.530000,180200
2019-01-08,4.550000,4.580000,4.370000,4.430000,4.430000,110400
2019-01-09,4.770000,5.630000,4.600000,5.390000,5.390000,1767800
2019-01-10,5.280000,5.300000,4.940000,5.050000,5.050000,537400
2019-01-11,5.170000,5.450000,5.080000,5.350000,5.350000,443500
2019-01-14,5.340000,5.640000,5.100000,5.390000,5.390000,455900
2019-01-15,5.390000,5.540000,5.350000,5.350000,5.350000,320500
2019-01-16,5.400000,5.410000,4.800000,5.010000,5.010000,528300
2019-01-17,5.010000,5.090000,4.900000,5.000000,5.000000,219400
2019-01-18,5.050000,5.200000,5.030000,5.070000,5.070000,414000
2019-01-22,5.380000,5.520000,5.070000,5.150000,5.150000,663400
2019-01-23,5.180000,5.320000,5.130000,5.300000,5.300000,146700
2019-01-24,5.330000,5.440000,5.260000,5.320000,5.320000,196300
