Date,Open,High,Low,Close,Adj Close,Volume
2018-10-17,40.130001,40.130001,38.840000,39.439999,36.569942,491000
2018-10-18,39.299999,40.349998,38.990002,39.340000,36.477222,206900
2018-10-19,39.279999,39.825001,38.540001,39.080002,36.236137,124300
2018-10-22,39.080002,39.470001,38.599998,38.980000,36.143417,102000
2018-10-23,38.590000,38.900002,36.990002,38.730000,35.911606,127000
2018-10-24,38.540001,38.869999,36.549999,36.549999,33.890244,107100
2018-10-25,36.680000,37.174999,35.560001,35.799999,33.194824,171800
2018-10-26,35.369999,36.220001,35.070000,35.380001,32.805393,147800
2018-10-29,35.610001,36.930000,34.520000,34.869999,32.332500,103900
2018-10-30,34.900002,35.294998,33.169998,34.400002,31.896706,156700
2018-10-31,34.779999,34.950001,33.820000,34.139999,31.655628,245700
2018-11-01,35.290001,35.779999,33.290001,33.860001,31.396002,364200
2018-11-02,33.939999,34.575001,33.689999,34.020000,32.074829,294300
2018-11-05,34.000000,34.900002,33.520000,34.490002,32.517960,232800
2018-11-06,34.419998,35.689999,34.342999,35.599998,33.564491,214500
2018-11-07,42.049999,43.980000,41.165001,41.759998,39.372280,895500
2018-11-08,42.040001,42.790001,39.919998,40.070000,37.778912,294900
2018-11-09,39.919998,40.009998,37.849998,38.110001,35.930981,239900
2018-11-12,38.330002,38.921001,37.509998,37.669998,35.516132,102100
2018-11-13,37.770000,38.209999,37.009998,37.099998,34.978725,134100
2018-11-14,37.430000,37.430000,36.009998,36.279999,34.205612,232300
2018-11-15,36.290001,36.828999,35.990002,36.459999,34.375320,92700
2018-11-16,36.509998,36.660000,36.049999,36.419998,34.337608,166400
2018-11-19,36.150002,36.630001,35.599998,36.000000,33.941620,79600
2018-11-20,35.599998,35.730000,33.930000,34.110001,32.159691,180100
2018-11-21,34.490002,35.509998,33.480000,35.340000,33.319359,237900
2018-11-23,34.959999,35.610001,34.255001,35.369999,33.347645,80300
2018-11-26,35.759998,35.919998,33.860001,34.070000,32.121975,137400
2018-11-27,33.980000,34.543999,32.570000,32.779999,30.905731,278400
2018-11-28,32.880001,32.914001,32.099998,32.480000,30.622883,161400
2018-11-29,32.509998,34.518002,32.509998,34.189999,32.235111,269600
2018-11-30,34.110001,34.110001,32.650002,33.130001,31.235722,180600
2018-12-03,33.889999,34.200001,33.500000,33.939999,31.999407,145800
2018-12-04,34.060001,34.060001,32.770000,33.029999,31.141438,149300
2018-12-06,32.570000,33.029999,31.309999,32.490002,30.632315,191800
2018-12-07,32.880001,34.029999,32.575001,33.910000,31.971123,167400
2018-12-10,33.439999,33.889999,32.480000,33.470001,31.556280,145200
2018-12-11,33.680000,34.990002,32.750000,33.919998,31.980547,292400
2018-12-12,34.070000,34.840000,33.570000,34.439999,32.470818,139300
2018-12-13,34.310001,35.790001,34.250999,34.970001,32.970512,133700
2018-12-14,34.349998,35.980000,34.349998,34.730000,32.744236,184700
2018-12-17,34.689999,34.689999,32.779999,33.080002,31.188578,174400
2018-12-18,33.130001,33.310001,31.040001,31.600000,29.793201,188900
2018-12-19,31.490000,32.077000,30.500000,31.400000,29.604637,235100
2018-12-20,31.020000,31.445000,28.770000,29.889999,28.180973,199400
2018-12-21,29.770000,30.340000,27.660000,27.820000,26.229330,312000
2018-12-24,27.639999,28.450001,26.379999,27.510000,25.937056,117800
2018-12-26,27.600000,28.420000,26.080000,28.320000,26.700741,319500
2018-12-27,27.930000,28.709999,26.400000,27.450001,25.880487,181200
2018-12-28,27.330000,27.659000,26.320000,27.150000,25.597639,214900
2018-12-31,27.299999,29.139999,27.230000,28.840000,27.191010,149900
2019-01-02,28.600000,29.889999,28.459999,29.670000,27.973553,129100
2019-01-03,29.600000,31.270000,29.600000,30.990000,29.218079,120800
2019-01-04,31.150000,34.139999,31.129999,33.439999,31.527996,331900
2019-01-07,33.660000,35.298000,33.549999,34.009998,32.065403,276300
2019-01-08,34.369999,35.560001,33.959999,34.029999,32.084259,245700
2019-01-09,34.590000,35.278000,33.689999,34.070000,32.121975,286100
2019-01-10,33.970001,33.970001,32.590000,32.770000,30.896301,164100
2019-01-11,32.650002,32.919998,31.000000,32.009998,30.179758,233400
2019-01-14,31.260000,32.000000,30.780001,31.080000,29.302935,69600
2019-01-15,31.480000,32.840000,31.410000,32.619999,30.754879,138400
2019-01-16,32.299999,33.439999,31.879999,33.349998,31.443138,194500
2019-01-17,33.000000,33.549999,32.709999,33.000000,31.113153,77800
2019-01-18,33.209999,33.500000,32.650002,32.939999,31.056581,56200
2019-01-22,32.689999,32.740002,31.730000,31.730000,29.915770,70500
2019-01-23,31.830000,31.920000,30.700001,31.120001,29.340647,75200
2019-01-24,31.059999,31.629999,30.879999,31.200001,29.416071,107800
2019-01-25,31.559999,33.150002,31.559999,32.750000,30.877447,230600
2019-01-28,32.500000,33.490002,32.500000,33.180000,31.282860,191300
2019-01-29,33.459999,33.720001,33.099998,33.330002,31.424286,278400
2019-01-30,33.380001,33.500000,32.900002,33.099998,31.207434,179700
2019-01-31,33.070000,33.070000,31.790001,32.200001,30.358894,137200
2019-02-01,31.860001,32.250000,31.299999,32.000000,30.729568,170500
2019-02-04,31.799999,32.250000,31.365999,32.250000,30.969643,56400
2019-02-05,32.340000,33.009998,32.160000,32.529999,31.238525,197500
2019-02-06,32.459999,32.849998,32.099998,32.279999,30.998451,253400
2019-02-07,32.230000,32.270000,31.350000,31.940001,30.671953,92100
2019-02-08,31.900000,31.900000,30.690001,31.299999,30.057360,161200
2019-02-11,31.309999,31.400000,30.809999,31.000000,29.769270,41300
2019-02-12,31.270000,31.980000,30.580000,31.430000,30.182198,78500
2019-02-13,31.480000,31.900000,31.320000,31.690001,30.431877,192000
2019-02-14,31.700001,32.400002,31.700001,32.150002,30.873615,236000
2019-02-15,32.320000,32.660000,31.955000,32.099998,30.825598,133000
2019-02-19,32.520000,35.169998,32.520000,34.330002,32.967068,551500
2019-02-20,34.549999,34.965000,33.580002,34.700001,33.322376,234000
2019-02-21,34.630001,34.740002,33.560001,34.360001,32.995876,191700
2019-02-22,34.770000,35.580002,34.590000,35.099998,33.706493,261000
2019-02-25,35.000000,35.750000,34.610001,35.590000,34.177044,197000
2019-02-26,35.599998,36.070000,34.869999,35.279999,33.879349,187800
2019-02-27,35.270000,35.500000,35.023998,35.139999,33.744907,100900
2019-02-28,35.349998,35.349998,33.570000,33.660000,32.323666,249400
2019-03-01,33.900002,36.150002,33.900002,35.959999,34.532352,449700
2019-03-04,36.000000,36.660000,35.845001,36.450001,35.002899,236000
2019-03-05,36.500000,36.980000,35.430000,36.619999,35.166149,143400
2019-03-06,36.630001,37.200001,36.000000,36.380001,34.935677,190900
2019-03-07,35.540001,37.000000,35.320000,36.660000,35.204559,319800
2019-03-08,36.849998,37.150002,35.459999,35.700001,34.282677,647600
2019-03-11,36.500000,37.200001,35.930000,36.919998,35.454239,351600
2019-03-12,37.230000,37.840000,36.930000,37.169998,35.694313,375900
2019-03-13,37.500000,38.490002,36.450001,36.889999,35.425430,510700
2019-03-14,36.889999,37.630001,36.889999,37.139999,35.665504,258400
2019-03-15,37.200001,38.009998,36.369999,37.250000,35.771137,3254900
2019-03-18,37.240002,38.400002,37.049999,37.950001,36.443348,244600
2019-03-19,38.169998,38.910000,37.919998,38.490002,36.961914,214600
2019-03-20,38.500000,38.730000,37.400002,37.560001,36.068832,214700
2019-03-21,37.490002,38.192001,37.369999,37.900002,36.395336,109300
2019-03-22,37.730000,37.730000,36.599998,36.689999,35.233368,241000
2019-03-25,36.529999,37.139999,35.110001,35.209999,33.812126,324400
2019-03-26,35.450001,35.959999,35.040001,35.410000,34.004189,165600
2019-03-27,35.369999,35.570000,34.830002,35.000000,33.610466,319700
2019-03-28,35.000000,36.349998,34.720001,36.220001,34.782032,418400
2019-03-29,36.430000,36.570000,35.950001,36.009998,34.580368,159900
2019-04-01,36.270000,37.509998,36.226002,37.349998,35.867168,106500
2019-04-02,37.369999,37.814999,37.205002,37.549999,36.059227,72200
2019-04-03,37.619999,37.709999,37.020000,37.250000,35.771137,103900
2019-04-04,37.250000,37.490002,37.119999,37.419998,35.934387,90900
2019-04-05,37.470001,37.810001,37.250000,37.660000,36.164864,146600
2019-04-08,37.869999,38.654999,37.700001,38.150002,36.635410,266200
2019-04-09,38.150002,38.220001,36.570000,37.150002,35.675110,135300
2019-04-10,37.279999,37.509998,36.189999,36.849998,35.387020,158200
2019-04-11,36.849998,37.169998,36.480000,37.009998,35.540665,170200
2019-04-12,37.430000,37.959999,36.900002,36.900002,35.435036,193700
2019-04-15,37.000000,37.419998,36.660000,37.270000,35.790348,98500
2019-04-16,37.490002,37.924999,36.869999,37.680000,36.184067,63600
