Date,Open,High,Low,Close,Adj Close,Volume
2018-10-17,20.230000,20.400000,19.700001,20.209999,20.209999,158300
2018-10-18,20.139999,20.379999,19.620001,19.790001,19.790001,221000
2018-10-19,19.719999,19.920000,19.480000,19.719999,19.719999,165700
2018-10-22,19.790001,20.030001,19.580000,19.719999,19.719999,111100
2018-10-23,19.480000,19.809999,19.049999,19.690001,19.690001,192900
2018-10-24,19.639999,19.639999,18.830000,18.870001,18.870001,141400
2018-10-25,18.980000,19.450001,18.690001,19.020000,19.020000,188100
2018-10-26,18.180000,18.600000,17.590000,18.389999,18.389999,409900
2018-10-29,18.559999,19.459999,18.559999,18.959999,18.959999,231000
2018-10-30,18.969999,19.719999,18.799999,19.610001,19.610001,340100
2018-10-31,18.000000,18.000000,13.890000,14.770000,14.770000,1982800
2018-11-01,14.970000,15.610000,14.890000,15.070000,15.070000,668500
2018-11-02,15.500000,16.020000,15.060000,15.090000,15.090000,379300
2018-11-05,15.100000,15.550000,14.990000,15.220000,15.220000,409500
2018-11-06,15.110000,15.370000,15.090000,15.260000,15.260000,174800
2018-11-07,15.400000,16.100000,15.100000,16.080000,16.080000,228700
2018-11-08,16.080000,16.110001,15.750000,15.910000,15.910000,148700
2018-11-09,15.840000,16.010000,15.440000,15.660000,15.660000,211500
2018-11-12,15.750000,15.860000,15.490000,15.500000,15.500000,157100
2018-11-13,15.530000,15.570000,15.070000,15.130000,15.130000,183900
2018-11-14,15.190000,15.430000,15.020000,15.090000,15.090000,196500
2018-11-15,15.060000,15.650000,15.060000,15.540000,15.540000,176800
2018-11-16,15.410000,15.850000,15.390000,15.850000,15.850000,245800
2018-11-19,15.900000,16.000000,15.240000,15.290000,15.290000,209800
2018-11-20,15.240000,15.580000,15.240000,15.460000,15.460000,150000
2018-11-21,15.590000,15.910000,15.490000,15.860000,15.860000,84000
2018-11-23,15.690000,16.200001,15.690000,16.020000,16.020000,112900
2018-11-26,16.170000,16.340000,15.850000,16.090000,16.090000,148900
2018-11-27,16.000000,16.299999,15.970000,16.090000,16.090000,93600
2018-11-28,16.230000,16.920000,16.219999,16.850000,16.850000,220600
2018-11-29,16.860001,17.280001,16.680000,17.160000,17.160000,186200
2018-11-30,17.469999,18.049999,17.190001,17.549999,17.549999,626700
2018-12-03,17.620001,18.240000,17.230000,18.170000,18.170000,458300
2018-12-04,18.110001,18.480000,17.370001,17.770000,17.770000,936800
2018-12-06,17.510000,17.820000,17.010000,17.650000,17.650000,368100
2018-12-07,17.620001,17.629999,16.799999,16.930000,16.930000,425000
2018-12-10,16.910000,17.590000,16.510000,17.540001,17.540001,295800
2018-12-11,17.730000,17.959999,17.450001,17.799999,17.799999,239100
2018-12-12,18.000000,18.280001,17.620001,17.650000,17.650000,233300
2018-12-13,17.690001,18.030001,17.010000,17.420000,17.420000,200300
2018-12-14,17.240000,17.730000,16.420000,16.709999,16.709999,355800
2018-12-17,16.459999,16.549999,15.830000,15.850000,15.850000,475800
2018-12-18,15.940000,16.120001,15.290000,15.650000,15.650000,263400
2018-12-19,15.750000,15.810000,15.370000,15.400000,15.400000,260800
2018-12-20,15.440000,15.790000,15.020000,15.220000,15.220000,240300
2018-12-21,15.200000,15.440000,14.730000,14.750000,14.750000,776800
2018-12-24,14.720000,15.270000,14.580000,14.580000,14.580000,104000
2018-12-26,14.580000,15.280000,14.400000,15.200000,15.200000,184700
2018-12-27,15.080000,15.380000,14.710000,15.320000,15.320000,176700
2018-12-28,15.420000,15.840000,15.160000,15.400000,15.400000,257400
2018-12-31,15.540000,15.690000,15.130000,15.150000,15.150000,199400
2019-01-02,14.950000,15.430000,14.760000,15.260000,15.260000,282500
2019-01-03,15.190000,15.860000,14.830000,15.150000,15.150000,299700
2019-01-04,15.360000,15.570000,15.170000,15.510000,15.510000,182500
2019-01-07,15.510000,15.620000,15.440000,15.510000,15.510000,297600
2019-01-08,15.670000,15.780000,15.480000,15.690000,15.690000,384600
2019-01-09,15.770000,16.110001,15.560000,15.860000,15.860000,434800
2019-01-10,15.880000,16.139999,15.690000,16.110001,16.110001,234600
2019-01-11,16.520000,17.080000,16.299999,16.660000,16.660000,479600
2019-01-14,16.600000,17.010000,16.240000,16.930000,16.930000,344100
2019-01-15,16.940001,17.379999,16.870001,17.129999,17.129999,378900
2019-01-16,17.160000,17.410000,17.120001,17.299999,17.299999,212800
2019-01-17,17.280001,17.639999,17.160000,17.549999,17.549999,307900
2019-01-18,17.629999,18.290001,17.559999,18.260000,18.260000,361600
2019-01-22,18.139999,18.330000,17.950001,18.170000,18.170000,350900
2019-01-23,18.260000,18.520000,17.660000,18.110001,18.110001,291300
2019-01-24,17.930000,18.570000,17.100000,18.330000,18.330000,716000
2019-01-25,18.490000,18.980000,18.170000,18.250000,18.250000,325200
2019-01-28,18.150000,18.480000,17.700001,17.879999,17.879999,421200
2019-01-29,17.930000,18.020000,17.200001,17.290001,17.290001,265100
2019-01-30,17.379999,17.520000,17.049999,17.430000,17.430000,243900
2019-01-31,17.330000,17.850000,17.330000,17.680000,17.680000,213400
2019-02-01,17.600000,17.990000,17.430000,17.870001,17.870001,207100
