Date,Open,High,Low,Close,Adj Close,Volume
2018-10-17,7.330000,7.460000,7.200000,7.340000,7.340000,414800
2018-10-18,7.270000,7.380000,7.110000,7.140000,7.140000,334800
2018-10-19,7.130000,7.230000,6.920000,6.970000,6.970000,311900
2018-10-22,7.020000,7.190000,7.000000,7.060000,7.060000,596700
2018-10-23,6.900000,7.230000,6.890000,7.170000,7.170000,505200
2018-10-24,7.130000,7.210000,6.940000,6.940000,6.940000,701300
2018-10-25,7.000000,7.030000,6.720000,6.850000,6.850000,485600
2018-10-26,6.760000,6.900000,6.580000,6.810000,6.810000,484500
2018-10-29,6.880000,6.930000,6.640000,6.690000,6.690000,453600
2018-10-30,6.670000,6.930000,6.640000,6.900000,6.900000,440600
2018-10-31,6.990000,7.040000,6.890000,6.900000,6.900000,317700
2018-11-01,6.920000,6.960000,6.630000,6.680000,6.680000,911000
2018-11-02,6.710000,6.980000,6.710000,6.940000,6.940000,598200
2018-11-05,6.990000,6.991000,6.660000,6.720000,6.720000,1295900
2018-11-06,8.010000,8.990000,7.850000,8.890000,8.890000,3141700
2018-11-07,8.890000,8.890000,7.900000,8.220000,8.220000,1984000
2018-11-08,8.150000,8.390000,8.085000,8.280000,8.280000,990900
2018-11-09,8.210000,8.430000,8.060000,8.140000,8.140000,952600
2018-11-12,8.140000,8.280000,8.010000,8.030000,8.030000,807400
2018-11-13,8.100000,8.466000,8.090000,8.190000,8.190000,1963700
2018-11-14,8.210000,8.350000,7.500000,7.680000,7.680000,941200
2018-11-15,7.670000,7.900000,7.550000,7.860000,7.860000,617100
2018-11-16,7.750000,7.890000,7.560000,7.750000,7.750000,612800
2018-11-19,7.730000,7.730000,7.430000,7.530000,7.530000,770900
2018-11-20,7.440000,7.600000,7.200000,7.310000,7.310000,757900
2018-11-21,7.310000,7.410000,7.150000,7.240000,7.240000,442800
2018-11-23,7.190000,7.320000,7.190000,7.260000,7.260000,151100
2018-11-26,7.350000,7.400000,7.101000,7.180000,7.180000,538600
2018-11-27,7.120000,7.190000,7.090000,7.130000,7.130000,332500
2018-11-28,7.660000,8.160000,7.400000,7.690000,7.690000,1855000
2018-11-29,7.640000,7.940000,7.500000,7.760000,7.760000,1173600
2018-11-30,7.780000,8.020000,7.670000,7.840000,7.840000,877900
2018-12-03,8.020000,8.030000,7.450000,7.510000,7.510000,854100
2018-12-04,7.540000,7.610000,7.290000,7.370000,7.370000,813100
