Date,Open,High,Low,Close,Adj Close,Volume
2018-10-17,14.840000,14.840000,13.610000,13.780000,12.561771,44600
2018-10-18,13.880000,14.200000,13.850000,14.180000,12.926409,7100
2018-10-19,14.070000,14.390000,14.010000,14.010000,12.771439,10400
2018-10-22,14.230000,14.360000,14.010000,14.300000,13.035800,13500
2018-10-23,13.930000,14.210000,13.910000,13.910000,12.680278,6800
2018-10-24,13.810000,14.230000,13.810000,13.880000,12.652930,8300
2018-10-25,14.050000,14.080000,13.500000,13.930000,12.698510,21900
2018-10-26,13.750000,13.964000,13.750000,13.950000,12.716742,10400
2018-10-29,14.040000,14.080000,13.930000,13.930000,12.698510,9600
2018-10-30,13.930000,14.000000,13.760000,14.000000,12.762321,10300
2018-10-31,14.190000,14.190000,13.738000,14.000000,12.762321,12600
2018-11-01,13.897000,13.897000,13.520000,13.850000,12.625584,25600
2018-11-02,13.750000,13.890000,13.420000,13.590000,12.388569,2600
2018-11-05,13.770000,13.820000,13.400000,13.460000,12.270061,28900
2018-11-06,13.070000,13.400000,12.050000,12.680000,11.559017,49000
2018-11-07,12.830000,13.040000,12.500000,13.040000,11.887192,15600
2018-11-08,12.860000,13.090000,12.750000,13.090000,11.932771,9400
2018-11-09,13.100000,13.100000,12.750000,12.850000,11.713989,6700
2018-11-12,12.750000,12.800000,10.950000,12.170000,11.094105,47600
2018-11-13,12.410000,12.410000,11.430000,11.445000,10.433198,94400
2018-11-14,11.000000,13.730000,11.000000,13.020000,11.868960,56000
2018-11-15,13.079000,14.250000,13.079000,13.700000,12.488844,33800
2018-11-16,13.280000,13.280000,12.300000,12.410000,11.312887,6600
2018-11-19,12.400000,13.000000,12.400000,13.000000,11.850728,6400
2018-11-20,13.100000,13.209000,12.270000,12.600000,11.486091,11000
2018-11-21,12.610000,13.452000,12.260000,12.260000,11.176149,12300
2018-11-23,12.630000,12.630000,12.280000,12.280000,11.194380,300
2018-11-26,12.613000,12.675000,12.250000,12.250000,11.167031,14000
2018-11-27,12.260000,12.680000,12.168000,12.680000,11.559017,12200
2018-11-28,12.700000,14.000000,12.080000,12.330000,11.239959,33900
2018-11-29,12.390000,12.840000,11.900000,12.320000,11.230844,16400
2018-11-30,12.320000,12.920000,12.250000,12.610000,11.495205,32500
2018-12-03,13.000000,13.950000,12.650000,12.890000,11.750452,91400
2018-12-04,13.010000,13.075000,12.390000,12.390000,11.294655,4500
2018-12-06,12.180000,12.870000,12.120000,12.270000,11.185264,30800
2018-12-07,12.230000,12.800000,12.000000,12.650000,11.531670,31000
2018-12-10,12.440000,12.820000,12.160000,12.160000,11.084988,18100
2018-12-11,12.160000,12.760000,12.000000,12.270000,11.185264,24100
2018-12-12,12.280000,12.550000,12.000000,12.100000,11.030293,31800
2018-12-13,12.250000,13.011000,12.153000,12.820000,11.686640,23800
2018-12-14,13.900000,13.900000,12.180000,12.260000,11.176149,160500
2018-12-17,12.440000,12.750000,11.160000,11.870000,10.820626,50300
2018-12-18,12.100000,12.650000,11.800000,12.230000,11.148799,96400
2018-12-19,12.390000,13.000000,12.210000,12.350000,11.258191,42200
2018-12-20,12.400000,12.616000,11.750000,11.870000,10.820626,60900
2018-12-21,11.770000,12.970000,11.770000,12.620000,11.504322,85800
2018-12-24,12.670000,12.939000,12.472000,12.600000,11.486091,37400
2018-12-26,12.800000,13.200000,11.910000,13.100000,11.941888,35100
2018-12-27,12.610000,12.700000,11.780000,12.020000,11.280274,43200
2018-12-28,12.150000,12.750000,12.000000,12.280000,11.524273,45200
2018-12-31,12.930000,12.930000,12.520000,12.610000,11.833963,30500
2019-01-02,12.620000,13.240000,12.400000,13.210000,12.397040,16800
2019-01-03,13.240000,13.500000,12.951000,13.160000,12.350117,20400
2019-01-04,13.392000,14.990000,13.280000,14.700000,13.795342,175300
2019-01-07,15.000000,15.700000,14.913000,15.510000,14.555494,93400
2019-01-08,15.630000,16.235001,15.589000,16.049999,15.062262,41100
2019-01-09,16.250000,16.400000,15.300000,15.400000,14.452264,47100
2019-01-10,15.150000,15.780000,15.070000,15.100000,14.170728,52400
2019-01-11,14.640000,15.047000,14.350000,14.500000,13.607651,52300
2019-01-14,14.290000,14.790000,14.030000,14.290000,13.410576,79000
2019-01-15,14.010000,14.800000,13.540000,13.750000,12.903808,101800
2019-01-16,13.730000,14.330000,13.650000,13.900000,13.044576,57900
2019-01-17,14.000000,14.830000,13.950000,14.630000,13.729651,33400
2019-01-18,14.790000,15.794000,14.660000,15.430000,14.480418,58600
2019-01-22,15.130000,15.800000,15.045000,15.580000,14.621186,32100
2019-01-23,15.790000,15.790000,15.241000,15.520000,14.564880,27500
2019-01-24,15.367000,15.600000,15.367000,15.600000,14.639956,19800
2019-01-25,15.600000,15.800000,15.280000,15.790000,14.818263,20700
2019-01-28,15.790000,15.930000,15.390000,15.750000,14.780725,27400
2019-01-29,15.770000,16.040001,15.440000,15.740000,14.771339,11800
2019-01-30,15.950000,15.950000,15.370000,15.480000,14.527341,22700
2019-01-31,15.650000,16.040001,15.500000,16.040001,15.052878,14100
2019-02-01,16.110001,16.180000,15.310000,15.670000,14.705648,29600
2019-02-04,15.750000,15.750000,15.070000,15.730000,14.761955,14100
2019-02-05,15.680000,15.700000,15.250000,15.510000,14.555494,14900
2019-02-06,15.490000,15.880000,15.440000,15.820000,14.846416,13400
2019-02-07,15.640000,15.910000,15.538000,15.910000,14.930878,9100
2019-02-08,15.780000,16.000000,15.600000,16.000000,15.015339,7200
2019-02-11,16.000000,16.200001,15.900000,16.000000,15.015339,17400
2019-02-12,16.180000,16.180000,15.980000,16.049999,15.062262,8200
2019-02-13,16.030001,16.110001,15.500000,15.770000,14.799494,12300
2019-02-14,15.902000,16.049999,15.770000,15.770000,14.799494,9200
2019-02-15,15.730000,16.100000,15.730000,15.800000,14.827649,14400
2019-02-19,15.950000,15.980000,15.640000,15.960000,14.977801,7300
2019-02-20,15.990000,15.990000,15.600000,15.620000,14.658725,5200
2019-02-21,15.600000,15.600000,15.300000,15.600000,14.639956,9200
2019-02-22,15.600000,15.600000,15.450000,15.450000,14.499187,14200
2019-02-25,15.300000,15.555000,14.850000,14.860000,13.945497,23600
2019-02-26,14.850000,15.600000,14.850000,15.100000,14.170728,9400
2019-02-27,15.170000,15.190000,15.000000,15.180000,14.245804,6400
2019-02-28,15.207000,15.490000,14.850000,15.360000,14.414725,10900
2019-03-01,15.282000,15.450000,15.125000,15.280000,14.339648,11100
2019-03-04,15.600000,15.600000,15.280000,15.340000,14.395957,9100
2019-03-05,15.405000,15.410000,15.080000,15.250000,14.311496,12000
2019-03-06,15.100000,15.370000,15.100000,15.205000,14.269265,5800
2019-03-07,15.600000,15.600000,15.010000,15.500000,14.546110,16200
2019-03-08,15.500000,15.856000,15.300000,15.550000,14.593033,37700
2019-03-11,15.770000,15.810000,15.310000,15.310000,14.367804,6400
2019-03-12,15.080000,15.537000,15.060000,15.380000,14.433496,10000
2019-03-13,15.350000,15.702000,15.180000,15.660000,14.696263,23300
2019-03-14,15.770000,16.900000,15.720000,16.350000,15.343801,67400
2019-03-15,16.230000,16.625000,16.049999,16.049999,15.062262,123300
2019-03-18,16.500000,16.750000,16.160000,16.629999,15.606566,98100
2019-03-19,16.860001,16.875000,16.490000,16.490000,15.475183,50600
2019-03-20,16.790001,16.799999,16.260000,16.400000,15.390721,29200
2019-03-21,16.299999,16.790001,16.299999,16.580000,15.559645,31200
2019-03-22,16.791000,17.000000,16.340000,16.650000,15.625338,88300
2019-03-25,16.600000,17.000000,16.600000,16.905001,15.864646,44900
2019-03-26,17.170000,17.170000,16.590000,16.770000,15.737952,35100
2019-03-27,16.950001,17.170000,16.660000,16.980000,15.935028,88200
2019-03-28,17.000000,17.034000,16.450001,16.719999,16.045389,73400
2019-03-29,17.049999,17.200001,16.700001,16.820000,16.141356,102600
2019-04-01,17.100000,17.100000,16.549999,16.860001,16.179741,70200
2019-04-02,17.040001,17.040001,16.549999,17.000000,16.314093,39000
2019-04-03,16.990000,17.100000,16.549999,16.889999,16.208529,41400
2019-04-04,16.770000,16.980000,16.549999,16.879999,16.198933,54400
2019-04-05,16.900000,16.950001,16.650000,16.660000,15.987811,47200
2019-04-08,16.610001,16.900000,16.600000,16.730000,16.054985,43900
2019-04-09,16.900000,16.900000,16.730000,16.799999,16.122162,39600
2019-04-10,16.709999,16.900000,16.600000,16.900000,16.218126,37000
2019-04-11,16.900000,16.915001,16.700001,16.799999,16.122162,40500
2019-04-12,16.750000,16.924999,16.000000,16.719999,16.045389,62500
2019-04-15,16.570000,16.950001,16.410000,16.650000,15.978213,36800
2019-04-16,16.860001,17.000000,16.549999,16.799999,16.122162,33600
2019-04-17,16.840000,16.840000,16.250000,16.549999,15.882247,18900
2019-04-18,16.670000,16.750000,16.570000,16.629999,15.959019,12000
2019-04-22,16.750000,16.920000,16.650000,16.790001,16.112566,23600
