Date,Open,High,Low,Close,Adj Close,Volume
2018-10-17,5.290000,5.290000,5.086000,5.240000,4.987538,5400
2018-10-18,5.260000,5.300000,5.060000,5.300000,5.044648,4400
2018-10-19,5.300000,5.300000,5.050000,5.200000,4.949465,15300
2018-10-22,5.025000,5.270000,5.025000,5.060000,4.816211,2900
2018-10-23,5.240000,5.250000,5.090000,5.200000,4.949465,6200
2018-10-24,5.230000,5.240000,5.126000,5.150000,4.901875,17500
2018-10-25,5.130000,5.200000,5.100000,5.150000,4.901875,10000
2018-10-26,5.100000,5.240000,5.100000,5.220000,4.968502,6900
2018-10-29,5.170000,5.170000,5.109000,5.130000,4.882838,13500
2018-10-30,5.110000,5.175000,5.010000,5.020000,4.778138,9900
2018-10-31,5.070000,5.150000,4.930000,5.150000,4.901875,24300
2018-11-01,5.110000,5.110000,5.000000,5.000000,4.759101,10100
2018-11-02,5.090000,5.090000,5.050000,5.060000,4.816211,4000
2018-11-05,5.080000,5.080000,5.000000,5.050000,4.806692,9900
2018-11-06,5.080000,5.080000,5.000000,5.070000,4.825729,8700
2018-11-07,5.180000,5.265000,5.045000,5.200000,4.949465,18000
2018-11-08,5.250000,5.280000,5.100000,5.100000,4.854284,4700
2018-11-09,5.080000,5.087000,5.058000,5.070000,4.825729,6800
2018-11-12,5.070000,5.070000,4.920000,4.940000,4.701992,8700
2018-11-13,4.982000,5.140000,4.980000,5.090000,4.844766,31600
2018-11-14,5.020000,5.070000,4.862000,4.990000,4.815812,9600
2018-11-15,5.010000,5.030000,4.960000,5.000000,4.825463,4700
2018-11-16,4.960000,5.036000,4.914000,4.950000,4.777208,6100
2018-11-19,4.990000,5.050000,4.950000,5.050000,4.873718,2600
2018-11-20,5.110000,5.110000,5.020000,5.040000,4.864067,23800
2018-11-21,5.030000,5.070000,5.000000,5.050000,4.873718,9000
2018-11-23,5.050000,5.200000,5.000000,5.000000,4.825463,3300
2018-11-26,5.010000,5.200000,5.010000,5.100000,4.921973,15200
2018-11-27,5.100000,5.380000,5.075000,5.130000,4.950925,29000
