Date,Open,High,Low,Close,Adj Close,Volume
2018-10-17,5.600000,5.680000,5.280000,5.600000,5.600000,2800
2018-10-18,5.280000,5.600000,5.280000,5.360000,5.360000,7200
2018-10-19,5.280000,6.000000,5.280000,5.440000,5.440000,3800
2018-10-22,5.680000,5.760000,4.400000,5.120000,5.120000,17200
2018-10-23,5.200000,5.200000,4.800000,5.200000,5.200000,1000
2018-10-24,5.200000,6.240000,4.880000,4.880000,4.880000,85000
2018-10-25,4.800000,5.120000,4.800000,4.800000,4.800000,9300
2018-10-26,5.040000,5.120000,4.800000,4.800000,4.800000,5200
2018-10-29,5.200000,5.200000,4.800000,4.800000,4.800000,5700
2018-10-30,4.640000,4.960000,4.480000,4.640000,4.640000,1600
2018-10-31,4.480000,4.880000,4.480000,4.880000,4.880000,7600
2018-11-01,4.960000,4.960000,4.560000,4.960000,4.960000,2600
2018-11-02,5.040000,5.280000,4.880000,4.960000,4.960000,3000
2018-11-05,4.880000,5.200000,4.880000,4.960000,4.960000,3000
2018-11-06,4.960000,5.120000,4.880000,4.880000,4.880000,4200
2018-11-07,5.280000,5.280000,4.960000,5.120000,5.120000,7900
2018-11-08,4.880000,5.120000,4.880000,4.880000,4.880000,2300
2018-11-09,5.120000,5.120000,4.880000,5.040000,5.040000,8000
2018-11-12,5.040000,5.200000,4.800000,4.880000,4.880000,3900
2018-11-13,4.640000,4.880000,4.640000,4.720000,4.720000,2300
2018-11-14,4.640000,5.120000,4.480000,4.640000,4.640000,3500
2018-11-15,4.560000,4.640000,4.000000,4.240000,4.240000,10500
2018-11-16,4.000000,4.240000,3.920000,4.000000,4.000000,11000
2018-11-19,4.000000,4.160000,3.600000,4.000000,4.000000,1900
2018-11-20,3.680000,4.000000,3.600000,3.920000,3.920000,1600
2018-11-21,3.920000,4.240000,3.760000,3.840000,3.840000,5600
2018-11-23,4.080000,4.320000,4.080000,4.080000,4.080000,7000
2018-11-26,4.320000,4.320000,3.760000,3.840000,3.840000,19000
2018-11-27,3.760000,3.920000,3.200000,3.680000,3.680000,5800
2018-11-28,3.600000,3.600000,3.360000,3.440000,3.440000,3800
2018-11-29,3.600000,3.600000,3.360000,3.440000,3.440000,4800
2018-11-30,3.360000,3.360000,3.200000,3.200000,3.200000,6600
2018-12-03,8.480000,12.400000,7.840000,8.640000,8.640000,4572900
2018-12-04,10.000000,13.760000,9.280000,11.920000,11.920000,3766600
2018-12-06,10.400000,10.720000,8.960000,9.280000,9.280000,319500
2018-12-07,9.360000,9.840000,8.160000,8.880000,8.880000,137600
2018-12-10,9.360000,9.520000,8.080000,8.320000,8.320000,70300
2018-12-11,8.240000,8.240000,6.720000,6.880000,6.880000,116600
2018-12-12,6.400000,7.280000,6.400000,7.120000,7.120000,123800
2018-12-13,6.800000,7.200000,6.720000,6.960000,6.960000,35800
2018-12-14,6.560000,7.520000,6.480000,7.120000,7.120000,39700
2018-12-17,7.600000,7.600000,6.640000,6.720000,6.720000,31400
2018-12-18,10.160000,10.160000,7.440000,7.680000,7.680000,829000
2018-12-19,7.360000,7.360000,6.000000,6.640000,6.640000,120700
2018-12-20,6.240000,7.120000,5.760000,5.840000,5.840000,52700
2018-12-21,5.760000,8.800000,4.800000,8.640000,8.640000,187700
2018-12-24,6.400000,7.120000,6.080000,6.800000,6.800000,31000
2018-12-26,7.360000,7.440000,6.640000,6.880000,6.880000,19700
2018-12-27,7.440000,7.440000,6.080000,6.560000,6.560000,15400
2018-12-28,6.560000,7.200000,6.400000,7.120000,7.120000,64800
2018-12-31,6.800000,6.960000,6.720000,6.960000,6.960000,9900
2019-01-02,6.800000,6.960000,6.480000,6.720000,6.720000,15400
2019-01-03,6.880000,6.880000,6.000000,6.480000,6.480000,12000
2019-01-04,6.480000,6.880000,6.400000,6.720000,6.720000,17900
2019-01-07,6.720000,7.120000,6.400000,6.720000,6.720000,35700
2019-01-08,6.880000,7.200000,6.560000,7.200000,7.200000,16600
2019-01-09,7.200000,7.920000,6.880000,7.920000,7.920000,71000
2019-01-10,7.840000,7.920000,7.200000,7.280000,7.280000,20700
2019-01-11,7.600000,7.600000,6.880000,7.120000,7.120000,8000
2019-01-14,7.120000,7.360000,6.880000,7.200000,7.200000,7900
2019-01-15,6.880000,7.040000,6.400000,6.720000,6.720000,11200
2019-01-16,6.800000,7.040000,6.560000,6.800000,6.800000,11000
2019-01-17,6.800000,7.040000,6.720000,6.880000,6.880000,11200
2019-01-18,6.960000,7.440000,6.800000,7.440000,7.440000,23900
2019-01-22,7.440000,7.440000,6.800000,6.880000,6.880000,14500
2019-01-23,6.720000,6.960000,6.640000,6.640000,6.640000,6200
2019-01-24,6.800000,6.960000,6.720000,6.960000,6.960000,2900
2019-01-25,6.720000,7.280000,6.720000,7.280000,7.280000,24900
2019-01-28,7.360000,8.160000,7.360000,7.520000,7.520000,69700
2019-01-29,7.840000,7.840000,7.200000,7.360000,7.360000,12300
2019-01-30,7.280000,7.440000,7.040000,7.280000,7.280000,15400
2019-01-31,7.280000,7.440000,7.280000,7.440000,7.440000,6700
2019-02-01,7.600000,7.600000,7.280000,7.440000,7.440000,11000
2019-02-04,7.280000,7.600000,7.280000,7.440000,7.440000,7500
2019-02-05,7.680000,7.680000,7.360000,7.440000,7.440000,6900
2019-02-06,7.440000,7.440000,7.040000,7.120000,7.120000,4600
2019-02-07,7.200000,7.280000,6.880000,7.120000,7.120000,4600
2019-02-08,6.880000,7.280000,6.880000,6.880000,6.880000,23900
2019-02-11,6.800000,7.200000,6.400000,6.400000,6.400000,15300
2019-02-12,6.720000,6.720000,6.400000,6.640000,6.640000,6000
2019-02-13,6.480000,6.720000,6.480000,6.640000,6.640000,5100
2019-02-14,6.560000,6.640000,6.400000,6.480000,6.480000,3300
2019-02-15,6.480000,6.880000,6.480000,6.720000,6.720000,7700
2019-02-19,6.720000,6.800000,6.480000,6.800000,6.800000,8100
2019-02-20,6.560000,7.040000,6.560000,6.800000,6.800000,5500
2019-02-21,6.720000,6.880000,6.560000,6.560000,6.560000,5000
2019-02-22,6.800000,6.800000,6.480000,6.560000,6.560000,3800
2019-02-25,6.400000,6.560000,6.400000,6.480000,6.480000,4300
2019-02-26,6.800000,6.800000,6.400000,6.560000,6.560000,4600
2019-02-27,6.720000,6.720000,6.480000,6.480000,6.480000,2900
2019-02-28,6.480000,6.480000,6.400000,6.400000,6.400000,3300
2019-03-01,6.400000,6.480000,6.160000,6.400000,6.400000,5000
2019-03-04,6.400000,6.480000,6.160000,6.240000,6.240000,7400
2019-03-05,6.400000,6.400000,5.920000,5.920000,5.920000,4600
2019-03-06,6.080000,6.160000,5.840000,6.160000,6.160000,2000
2019-03-07,6.160000,6.400000,5.840000,6.000000,6.000000,3700
2019-03-08,6.000000,6.240000,5.840000,6.240000,6.240000,7000
2019-03-11,6.320000,6.400000,6.080000,6.080000,6.080000,4900
2019-03-12,6.400000,6.400000,6.080000,6.160000,6.160000,3500
2019-03-13,6.160000,6.400000,5.920000,5.920000,5.920000,9700
2019-03-14,6.080000,6.160000,5.920000,6.160000,6.160000,1800
2019-03-15,6.400000,6.560000,6.000000,6.480000,6.480000,9700
2019-03-18,6.320000,6.480000,6.080000,6.160000,6.160000,8500
2019-03-19,6.160000,6.320000,6.160000,6.320000,6.320000,6000
2019-03-20,6.240000,6.960000,6.080000,6.560000,6.560000,12800
2019-03-21,6.720000,6.960000,6.400000,6.480000,6.480000,19300
2019-03-22,6.240000,6.800000,6.240000,6.640000,6.640000,11300
2019-03-25,6.880000,10.080000,6.640000,7.600000,7.600000,841500
2019-03-26,7.040000,7.600000,6.400000,7.200000,7.200000,48900
2019-03-27,7.040000,7.200000,6.720000,6.880000,6.880000,13000
2019-03-28,6.720000,7.040000,6.640000,6.880000,6.880000,9100
2019-03-29,6.720000,7.200000,6.720000,6.800000,6.800000,16400
2019-04-01,6.880000,7.040000,6.560000,6.720000,6.720000,9700
2019-04-02,6.640000,6.800000,6.400000,6.560000,6.560000,7700
2019-04-03,6.720000,6.720000,6.480000,6.720000,6.720000,10900
2019-04-04,6.560000,6.880000,6.560000,6.800000,6.800000,3800
2019-04-05,6.560000,6.960000,6.480000,6.800000,6.800000,12900
2019-04-08,7.040000,7.040000,6.480000,6.640000,6.640000,3400
2019-04-09,6.720000,7.040000,6.640000,6.800000,6.800000,6600
2019-04-10,6.880000,7.200000,6.640000,6.960000,6.960000,12400
2019-04-11,7.440000,7.520000,6.880000,7.360000,7.360000,12300
2019-04-12,7.600000,7.600000,6.960000,7.200000,7.200000,8300
2019-04-15,7.440000,7.440000,6.800000,6.880000,6.880000,5800
2019-04-16,7.120000,7.120000,6.640000,6.800000,6.800000,6300
2019-04-17,7.200000,7.200000,6.560000,6.640000,6.640000,13900
2019-04-18,6.640000,6.800000,6.400000,6.640000,6.640000,10000
2019-04-22,6.560000,6.800000,6.480000,6.800000,6.800000,5700
2019-04-23,6.720000,6.800000,6.480000,6.720000,6.720000,7000
2019-04-24,6.480000,6.720000,6.480000,6.560000,6.560000,5600
2019-04-25,6.720000,7.600000,6.560000,6.560000,6.560000,54400
2019-04-26,6.960000,6.960000,6.560000,6.560000,6.560000,8300
2019-04-29,6.640000,6.640000,6.480000,6.640000,6.640000,3800
2019-04-30,6.640000,6.640000,6.400000,6.560000,6.560000,3800
2019-05-01,6.400000,6.640000,6.400000,6.480000,6.480000,7400
2019-05-02,6.560000,6.560000,6.400000,6.400000,6.400000,4500
2019-05-03,6.480000,6.560000,6.480000,6.560000,6.560000,4500
