Date,Open,High,Low,Close,Adj Close,Volume
2018-10-17,23.639999,23.760000,23.450001,23.520000,23.520000,33700
2018-10-18,23.510000,23.580000,23.440001,23.530001,23.530001,28400
2018-10-19,23.410000,23.879999,23.379999,23.500000,23.500000,27300
2018-10-22,23.639999,23.690001,23.180000,23.180000,23.180000,23200
2018-10-23,23.240000,23.540001,22.760000,23.020000,23.020000,36200
2018-10-24,23.010000,23.040001,20.900000,21.080000,21.080000,33400
2018-10-25,21.170000,21.750000,21.170000,21.610001,21.610001,19200
2018-10-26,21.309999,21.709999,20.969999,21.150000,21.150000,13200
2018-10-29,21.299999,21.469999,20.780001,21.200001,21.200001,23900
2018-10-30,21.240000,21.290001,20.750000,20.889999,20.889999,14900
2018-10-31,21.049999,21.139999,19.620001,20.340000,20.340000,36600
2018-11-01,20.360001,20.670000,20.150000,20.490000,20.490000,16000
2018-11-02,20.480000,20.690001,20.030001,20.430000,20.430000,19800
2018-11-05,20.799999,20.799999,20.200001,20.270000,20.270000,7900
2018-11-06,20.309999,20.400000,20.160000,20.250000,20.250000,15100
2018-11-07,20.410000,20.500000,20.250000,20.500000,20.500000,15300
2018-11-08,20.459999,21.350000,20.379999,20.900000,20.900000,52400
2018-11-09,20.650000,21.330000,20.650000,21.100000,21.100000,11100
2018-11-12,21.150000,21.420000,20.639999,20.709999,20.709999,14600
2018-11-13,20.780001,20.889999,20.420000,20.500000,20.500000,7600
2018-11-14,20.680000,20.969999,20.219999,20.600000,20.600000,7000
2018-11-15,20.559999,21.090000,20.490000,20.610001,20.610001,10300
2018-11-16,20.490000,21.379999,20.490000,20.709999,20.709999,16500
2018-11-19,20.830000,21.129999,20.250000,20.500000,20.500000,13800
2018-11-20,20.450001,21.040001,20.000000,20.129999,20.129999,11000
2018-11-21,20.420000,21.370001,20.420000,21.280001,21.280001,18100
2018-11-23,21.200001,21.400000,21.059999,21.209999,21.209999,5000
2018-11-26,21.309999,21.340000,20.360001,20.510000,20.510000,17100
2018-11-27,20.950001,21.230000,20.290001,20.430000,20.430000,11000
2018-11-28,20.580000,20.580000,19.570000,20.360001,20.360001,33000
2018-11-29,20.250000,21.000000,20.250000,20.670000,20.670000,50300
2018-11-30,20.610001,21.160000,20.400000,20.650000,20.650000,59200
2018-12-03,20.889999,21.280001,20.020000,21.170000,21.170000,17500
2018-12-04,21.100000,21.200001,19.650000,19.790001,19.790001,17000
