Date,Open,High,Low,Close,Adj Close,Volume
2018-10-17,57.889999,58.119999,57.410000,57.900002,57.652699,1160300
2018-10-18,57.200001,57.200001,55.610001,56.029999,55.790684,1755400
2018-10-19,56.480000,56.669998,55.650002,55.669998,55.432220,769200
2018-10-22,56.000000,56.139999,55.470001,55.779999,55.541752,503000
2018-10-23,54.500000,55.250000,53.349998,55.070000,54.834785,1461800
2018-10-24,55.000000,55.009998,53.070000,53.080002,52.853287,1589900
2018-10-25,52.990002,53.869999,52.639999,53.480000,53.251575,1818600
2018-10-26,52.029999,52.750000,51.740002,52.410000,52.186146,2727300
2018-10-29,52.660000,52.970001,50.310001,51.000000,50.782169,2568700
2018-10-30,54.000000,54.889999,53.000000,53.430000,53.201790,2709200
2018-10-31,54.279999,54.480000,53.700001,54.130001,53.898800,1766900
2018-11-01,55.490002,55.689999,54.900002,55.660000,55.422264,1538300
2018-11-02,54.709999,54.910000,53.279999,53.660000,53.430805,1563400
2018-11-05,53.740002,53.740002,53.169998,53.320000,53.092258,958900
2018-11-06,53.619999,53.869999,53.230000,53.500000,53.271492,711000
2018-11-07,54.490002,55.470001,54.259998,55.259998,55.023972,1616100
2018-11-08,54.939999,55.009998,54.070000,54.410000,54.177605,1076600
2018-11-09,54.180000,54.340000,53.759998,54.070000,53.839054,957800
2018-11-12,52.689999,52.720001,51.450001,51.529999,51.309902,1650000
2018-11-13,51.459999,51.919998,51.090000,51.240002,51.021145,949800
2018-11-14,51.590000,51.660000,50.720001,51.139999,50.921570,871900
2018-11-15,50.700001,51.779999,50.599998,51.650002,51.429394,712800
2018-11-16,50.090000,50.980000,50.040001,50.810001,50.592979,834900
2018-11-19,51.880001,52.070000,50.919998,50.990002,50.772213,1579800
2018-11-20,49.709999,50.110001,49.320000,49.529999,49.318447,1412800
2018-11-21,50.540001,50.919998,50.360001,50.520000,50.304218,783100
2018-11-23,49.860001,50.299999,49.660000,49.689999,49.477764,362600
2018-11-26,50.540001,51.130001,50.430000,51.020000,50.802082,1280400
2018-11-27,51.130001,51.619999,50.880001,51.369999,51.150585,957000
2018-11-28,51.820000,52.919998,51.450001,52.910000,52.684010,1042000
2018-11-29,52.110001,52.250000,51.610001,51.880001,51.658409,1100000
2018-11-30,52.869999,53.290001,52.580002,52.820000,52.594395,809500
2018-12-03,54.080002,54.340000,53.869999,54.169998,53.938625,1082700
2018-12-04,53.090000,53.209999,51.439999,51.509998,51.289989,1113200
2018-12-06,50.660000,51.919998,50.630001,51.860001,51.638496,783400
2018-12-07,52.000000,52.320000,51.009998,51.130001,50.911613,635000
2018-12-10,50.650002,51.279999,50.160000,51.110001,50.891701,1024000
