Date,Open,High,Low,Close,Adj Close,Volume
2018-10-17,61.660000,63.070000,61.029999,62.419998,60.389591,6857800
2018-10-18,62.040001,63.040001,61.340000,61.490002,59.489841,5709400
2018-10-19,61.230000,63.740002,60.860001,62.790001,60.747559,5680300
2018-10-22,63.020000,63.150002,60.770000,60.830002,58.851311,4410300
2018-10-23,59.700001,61.169998,59.439999,60.560001,58.590096,4805900
2018-10-24,60.340000,60.360001,58.689999,58.830002,56.916370,4454200
2018-10-25,59.470001,60.840000,59.340000,60.369999,58.406269,4239100
2018-10-26,59.509998,60.340000,59.200001,59.560001,57.622623,3647800
2018-10-29,60.490002,61.340000,59.540001,60.180000,58.222454,4143700
2018-10-30,60.500000,62.150002,59.880001,61.939999,59.925201,6830300
2018-10-31,62.560001,63.689999,62.419998,62.660000,60.621784,4030100
2018-11-01,62.970001,63.250000,62.250000,62.500000,60.466984,2929800
2018-11-02,63.020000,63.700001,62.180000,62.490002,60.457314,3075000
2018-11-05,62.430000,62.900002,62.180000,62.520000,60.486336,2485200
2018-11-06,62.299999,62.790001,61.939999,62.500000,60.466984,2950100
2018-11-07,62.759998,63.160000,61.709999,62.830002,60.786251,3015000
2018-11-08,62.669998,63.820000,62.599998,63.340000,61.279659,4007500
2018-11-09,63.200001,63.759998,63.099998,63.529999,61.463482,3352600
2018-11-12,63.380001,63.740002,62.880001,62.950001,60.902351,2524900
2018-11-13,62.950001,63.939999,62.820000,63.520000,61.453812,2928200
2018-11-14,63.889999,64.309998,61.730000,62.540001,60.505688,3011100
2018-11-15,61.950001,63.209999,61.400002,63.200001,61.144218,3320300
2018-11-16,62.660000,63.310001,62.320000,62.660000,60.621784,2783200
2018-11-19,62.830002,63.680000,62.360001,63.090000,61.037796,3676500
2018-11-20,62.650002,62.820000,61.299999,61.730000,59.722034,3116800
2018-11-21,61.779999,62.669998,60.939999,61.900002,59.886505,2787400
2018-11-23,61.560001,61.900002,61.090000,61.310001,59.315697,1273800
2018-11-26,62.160000,63.490002,62.160000,63.450001,61.386086,3670200
2018-11-27,63.110001,63.770000,62.869999,63.060001,61.008774,3787100
