Date,Open,High,Low,Close,Adj Close,Volume
2018-10-17,30.340000,31.000000,29.263000,30.730000,30.730000,88700
2018-10-18,30.570000,30.895000,29.420000,30.049999,30.049999,88400
2018-10-19,29.900000,30.723000,29.000000,30.040001,30.040001,92700
2018-10-22,30.160000,30.889999,28.660000,30.120001,30.120001,68600
2018-10-23,29.660000,30.980000,29.139999,30.459999,30.459999,149500
2018-10-24,30.549999,30.907000,25.000000,25.860001,25.860001,137300
2018-10-25,26.010000,28.290001,26.000000,27.610001,27.610001,84200
2018-10-26,27.100000,28.469999,26.020000,27.950001,27.950001,127200
2018-10-29,28.370001,28.370001,26.510000,27.110001,27.110001,129000
2018-10-30,27.070000,28.350000,26.010000,26.500000,26.500000,81900
2018-10-31,26.709999,27.635000,26.520000,27.000000,27.000000,206100
2018-11-01,27.219999,28.360001,27.000000,28.080000,28.080000,169900
2018-11-02,27.879999,28.250000,27.209999,27.969999,27.969999,42700
2018-11-05,27.950001,28.200001,27.100000,27.700001,27.700001,42300
2018-11-06,27.660000,28.059999,26.549999,27.049999,27.049999,55600
2018-11-07,26.930000,28.370001,26.930000,27.350000,27.350000,58100
2018-11-08,27.010000,30.650000,26.719000,28.410000,28.410000,287000
2018-11-09,28.170000,30.400000,28.170000,29.719999,29.719999,102300
2018-11-12,29.459999,30.040001,28.299999,28.340000,28.340000,50000
2018-11-13,28.900000,30.010000,27.965000,29.290001,29.290001,65000
2018-11-14,29.809999,31.379999,29.700001,30.840000,30.840000,106100
2018-11-15,30.780001,31.450001,29.980000,30.250000,30.250000,92100
2018-11-16,30.030001,31.639999,29.760000,31.299999,31.299999,86000
2018-11-19,31.330000,31.844999,29.129999,29.299999,29.299999,63800
2018-11-20,28.870001,30.139999,27.966000,29.000000,29.000000,58600
2018-11-21,29.150000,30.809999,28.799999,30.059999,30.059999,50600
2018-11-23,30.070000,31.360001,29.510000,29.900000,29.900000,40100
2018-11-26,30.299999,31.129999,28.860001,29.250000,29.250000,67500
2018-11-27,28.900000,30.299999,27.160000,27.889999,27.889999,110000
2018-11-28,27.820000,31.219999,27.820000,30.830000,30.830000,120800
2018-11-29,30.520000,32.021000,29.129999,29.500000,29.500000,53900
2018-11-30,29.389999,31.150000,29.040001,29.850000,29.850000,187000
2018-12-03,30.650000,30.700001,29.014999,30.430000,30.430000,74800
2018-12-04,30.370001,30.660000,28.020000,28.549999,28.549999,105400
2018-12-06,28.049999,29.879999,26.750000,29.379999,29.379999,136100
