Date,Open,High,Low,Close,Adj Close,Volume
2018-10-17,9.090000,9.150000,8.820000,9.030000,9.030000,759800
2018-10-18,8.960000,9.040000,8.820000,8.940000,8.940000,623400
2018-10-19,8.960000,9.160000,8.840000,8.850000,8.850000,1000200
2018-10-22,8.910000,8.960000,8.650000,8.890000,8.890000,741500
2018-10-23,8.700000,9.020000,8.560000,8.850000,8.850000,985600
2018-10-24,8.890000,9.120000,8.480000,8.500000,8.500000,1681400
2018-10-25,8.620000,9.010000,8.430000,8.760000,8.760000,1446800
2018-10-26,8.660000,8.690000,8.000000,8.250000,8.250000,2099700
2018-10-29,8.250000,8.290000,7.700000,7.860000,7.860000,2233100
2018-10-30,7.770000,7.950000,7.300000,7.660000,7.660000,1836200
2018-10-31,7.770000,8.110000,7.680000,8.000000,8.000000,1368100
2018-11-01,8.080000,8.380000,7.850000,8.300000,8.300000,1391700
2018-11-02,8.340000,8.550000,8.090000,8.300000,8.300000,1377100
2018-11-05,8.380000,8.440000,8.160000,8.350000,8.350000,941300
2018-11-06,8.430000,8.880000,8.370000,8.640000,8.640000,1884600
2018-11-07,8.770000,8.980000,8.380000,8.420000,8.420000,1865400
2018-11-08,8.420000,8.420000,7.780000,7.870000,7.870000,1277300
2018-11-09,7.800000,7.800000,7.250000,7.600000,7.600000,2009400
2018-11-12,7.650000,7.660000,6.860000,6.860000,6.860000,1955700
2018-11-13,6.880000,7.220000,6.500000,6.750000,6.750000,2082900
2018-11-14,6.860000,7.240000,6.730000,7.160000,7.160000,2487100
2018-11-15,7.200000,8.130000,7.040000,7.920000,7.920000,2410500
2018-11-16,7.950000,8.230000,7.850000,8.020000,8.020000,1926900
2018-11-19,8.020000,8.150000,7.270000,7.390000,7.390000,1701300
2018-11-20,7.190000,7.280000,6.960000,7.150000,7.150000,1958500
2018-11-21,7.210000,7.500000,7.110000,7.340000,7.340000,1246800
2018-11-23,7.220000,7.250000,7.040000,7.160000,7.160000,830000
2018-11-26,7.250000,7.260000,6.950000,7.150000,7.150000,1283600
2018-11-27,7.090000,7.250000,6.950000,7.010000,7.010000,1082300
2018-11-28,7.020000,7.280000,6.930000,7.260000,7.260000,923200
2018-11-29,7.280000,7.480000,7.150000,7.300000,7.300000,860300
2018-11-30,7.210000,7.310000,6.940000,7.230000,7.230000,1432800
2018-12-03,7.570000,7.770000,7.330000,7.730000,7.730000,1766600
2018-12-04,7.730000,7.790000,7.070000,7.070000,7.070000,1511600
2018-12-06,7.150000,7.200000,6.320000,6.930000,6.930000,3104200
2018-12-07,7.080000,7.190000,6.720000,6.800000,6.800000,1467400
2018-12-10,6.730000,6.800000,6.500000,6.740000,6.740000,1364800
2018-12-11,6.880000,6.980000,6.720000,6.910000,6.910000,1459500
2018-12-12,6.990000,7.250000,6.960000,7.070000,7.070000,1458800
2018-12-13,7.070000,7.110000,6.750000,6.820000,6.820000,1276500
2018-12-14,7.000000,7.270000,6.860000,6.880000,6.880000,1667500
2018-12-17,6.840000,6.870000,6.490000,6.520000,6.520000,2086000
2018-12-18,6.610000,6.610000,6.130000,6.160000,6.160000,2133400
2018-12-19,6.160000,6.670000,6.110000,6.390000,6.390000,1946600
2018-12-20,6.340000,6.460000,6.000000,6.100000,6.100000,1572700
2018-12-21,6.140000,6.170000,5.900000,5.970000,5.970000,2192600
2018-12-24,5.910000,6.110000,5.910000,6.010000,6.010000,839200
2018-12-26,6.020000,6.530000,5.910000,6.520000,6.520000,1851800
2018-12-27,6.380000,6.580000,6.230000,6.540000,6.540000,1223600
2018-12-28,6.560000,6.810000,6.400000,6.730000,6.730000,1595500
2018-12-31,6.880000,6.950000,6.690000,6.950000,6.950000,1381500
2019-01-02,6.810000,7.130000,6.660000,7.110000,7.110000,1476000
2019-01-03,7.110000,7.360000,7.050000,7.140000,7.140000,1867400
2019-01-04,7.290000,7.400000,7.150000,7.400000,7.400000,1536400
2019-01-07,7.460000,7.870000,7.410000,7.810000,7.810000,2573200
2019-01-08,7.910000,8.280000,7.780000,8.250000,8.250000,4291300
