Date,Open,High,Low,Close,Adj Close,Volume
2018-10-17,9.520000,9.640000,9.180000,9.290000,9.290000,618100
2018-10-18,9.290000,9.290000,8.900000,8.990000,8.990000,630400
2018-10-19,9.000000,9.170000,8.760000,8.900000,8.900000,723200
2018-10-22,8.960000,8.960000,8.460000,8.750000,8.750000,2144000
2018-10-23,8.610000,8.710000,8.200000,8.600000,8.600000,2506100
2018-10-24,8.610000,8.730000,8.000000,8.130000,8.130000,2509900
2018-10-25,8.170000,8.510000,8.110000,8.380000,8.380000,2543500
2018-10-26,8.250000,8.390000,8.010000,8.140000,8.140000,1141200
2018-10-29,8.270000,8.380000,7.770000,8.000000,8.000000,1116000
2018-10-30,7.650000,7.650000,6.270000,6.470000,6.470000,5130800
2018-10-31,6.560000,6.980000,6.470000,6.760000,6.760000,2620200
2018-11-01,6.760000,7.140000,6.410000,6.970000,6.970000,3301300
2018-11-02,7.320000,7.320000,6.380000,6.800000,6.800000,2578200
2018-11-05,6.780000,6.850000,6.370000,6.530000,6.530000,1403400
2018-11-06,6.550000,6.970000,6.500000,6.780000,6.780000,2396400
2018-11-07,6.800000,6.920000,6.640000,6.800000,6.800000,2899700
2018-11-08,6.700000,6.860000,6.510000,6.770000,6.770000,1323600
2018-11-09,6.690000,6.750000,6.220000,6.510000,6.510000,934200
2018-11-12,6.460000,6.490000,5.950000,6.020000,6.020000,1270000
2018-11-13,6.010000,6.390000,5.930000,5.970000,5.970000,894900
2018-11-14,6.050000,6.290000,5.970000,6.180000,6.180000,803300
2018-11-15,6.120000,6.150000,5.880000,6.110000,6.110000,1003800
2018-11-16,6.130000,6.150000,5.270000,5.600000,5.600000,3173100
2018-11-19,5.590000,5.680000,5.530000,5.550000,5.550000,928900
2018-11-20,5.500000,5.650000,5.210000,5.630000,5.630000,1476500
2018-11-21,5.690000,5.970000,5.630000,5.700000,5.700000,837400
2018-11-23,5.700000,5.990000,5.650000,5.920000,5.920000,368300
2018-11-26,5.920000,6.050000,5.430000,5.700000,5.700000,1124600
2018-11-27,5.640000,5.720000,5.360000,5.480000,5.480000,895400
2018-11-28,5.520000,5.560000,5.210000,5.500000,5.500000,1213800
2018-11-29,5.530000,5.640000,5.320000,5.530000,5.530000,827800
2018-11-30,5.500000,5.590000,5.330000,5.330000,5.330000,702900
2018-12-03,5.410000,5.540000,5.160000,5.280000,5.280000,844100
2018-12-04,5.250000,5.250000,4.720000,5.010000,5.010000,1643600
2018-12-06,4.850000,4.850000,4.070000,4.290000,4.290000,2593400
2018-12-07,4.330000,4.500000,3.950000,3.980000,3.980000,1313000
2018-12-10,3.980000,4.050000,3.740000,3.890000,3.890000,1648100
2018-12-11,3.910000,4.100000,3.790000,3.820000,3.820000,1484100
2018-12-12,3.850000,4.030000,3.800000,3.980000,3.980000,1337200
2018-12-13,4.030000,4.190000,3.920000,3.960000,3.960000,950700
2018-12-14,3.880000,4.010000,3.800000,3.870000,3.870000,706200
2018-12-17,3.820000,3.860000,3.590000,3.650000,3.650000,830300
2018-12-18,3.650000,3.870000,3.650000,3.810000,3.810000,962200
2018-12-19,3.840000,3.940000,3.780000,3.810000,3.810000,998100
2018-12-20,3.770000,3.900000,3.700000,3.850000,3.850000,860900
2018-12-21,3.850000,3.900000,3.710000,3.750000,3.750000,866000
2018-12-24,3.700000,4.030000,3.590000,3.980000,3.980000,527200
2018-12-26,4.050000,4.050000,3.730000,4.050000,4.050000,974700
2018-12-27,4.030000,4.120000,3.900000,4.110000,4.110000,653200
2018-12-28,4.110000,4.230000,4.040000,4.150000,4.150000,585500
2018-12-31,4.150000,4.230000,3.980000,4.190000,4.190000,744200
2019-01-02,4.100000,4.460000,4.000000,4.370000,4.370000,621900
2019-01-03,4.320000,4.350000,3.960000,4.090000,4.090000,731600
2019-01-04,4.160000,4.500000,4.120000,4.500000,4.500000,908600
2019-01-07,4.500000,4.840000,4.400000,4.760000,4.760000,696900
2019-01-08,4.920000,5.080000,4.820000,4.910000,4.910000,1069300
2019-01-09,4.940000,5.070000,4.940000,5.040000,5.040000,1072900
2019-01-10,5.000000,5.410000,4.970000,5.350000,5.350000,1331300
2019-01-11,5.350000,5.350000,4.930000,5.130000,5.130000,1140600
2019-01-14,5.050000,5.050000,4.650000,4.780000,4.780000,1222200
2019-01-15,4.750000,4.750000,4.300000,4.480000,4.480000,1179800
2019-01-16,4.470000,4.700000,4.280000,4.290000,4.290000,600500
2019-01-17,4.280000,4.570000,4.070000,4.500000,4.500000,1061700
2019-01-18,4.530000,4.810000,4.510000,4.670000,4.670000,898300
2019-01-22,4.670000,4.670000,4.200000,4.300000,4.300000,825400
2019-01-23,4.330000,4.330000,4.100000,4.200000,4.200000,452800
2019-01-24,4.200000,4.310000,4.110000,4.250000,4.250000,460300
2019-01-25,4.300000,4.570000,4.290000,4.440000,4.440000,692500
2019-01-28,4.380000,4.430000,4.210000,4.340000,4.340000,512100
2019-01-29,4.350000,4.510000,4.230000,4.480000,4.480000,767900
2019-01-30,4.520000,4.920000,4.500000,4.790000,4.790000,1059100
2019-01-31,4.830000,4.830000,4.630000,4.650000,4.650000,771700
2019-02-01,4.660000,5.010000,4.540000,4.790000,4.790000,1235500
2019-02-04,4.800000,4.980000,4.790000,4.880000,4.880000,591700
2019-02-05,4.910000,5.040000,4.820000,5.020000,5.020000,500800
2019-02-06,5.350000,5.600000,5.190000,5.280000,5.280000,751500
2019-02-07,5.220000,5.250000,4.810000,5.120000,5.120000,801200
2019-02-08,5.070000,5.140000,4.880000,5.110000,5.110000,575900
2019-02-11,5.100000,5.330000,5.060000,5.250000,5.250000,518200
2019-02-12,5.350000,5.550000,5.250000,5.520000,5.520000,787200
2019-02-13,5.560000,5.820000,5.510000,5.750000,5.750000,953400
