Date,Open,High,Low,Close,Adj Close,Volume
2018-10-17,11.640000,11.930000,11.510000,11.810000,11.810000,56200
2018-10-18,11.750000,11.840000,11.500000,11.550000,11.550000,97500
2018-10-19,11.590000,11.840000,11.450000,11.610000,11.610000,206800
2018-10-22,11.560000,11.840000,11.450000,11.780000,11.780000,142600
2018-10-23,11.660000,12.060000,11.600000,11.830000,11.830000,210500
2018-10-24,11.800000,11.890000,11.460000,11.480000,11.480000,118800
2018-10-25,11.520000,11.790000,11.400000,11.580000,11.580000,87600
2018-10-26,11.580000,11.900000,11.550000,11.770000,11.770000,108200
2018-10-29,11.860000,11.880000,11.600000,11.670000,11.670000,125200
2018-10-30,11.620000,11.880000,11.530000,11.610000,11.610000,109200
2018-10-31,11.690000,11.845000,11.550000,11.580000,11.580000,108300
2018-11-01,11.580000,11.834000,11.580000,11.650000,11.650000,110600
2018-11-02,11.680000,11.920000,11.680000,11.850000,11.850000,181600
2018-11-05,11.840000,11.920000,11.500000,11.650000,11.650000,220800
2018-11-06,11.600000,11.830000,11.420000,11.825000,11.825000,234300
2018-11-07,11.710000,12.024000,11.630000,11.750000,11.750000,160600
2018-11-08,11.820000,11.840000,11.530000,11.650000,11.650000,153300
2018-11-09,11.830000,12.003000,11.560000,11.860000,11.860000,253200
2018-11-12,11.700000,11.880000,11.620000,11.860000,11.860000,278100
2018-11-13,11.800000,11.883000,11.510000,11.630000,11.630000,203500
2018-11-14,11.630000,11.830000,11.530000,11.750000,11.750000,269500
2018-11-15,11.700000,11.890000,11.594000,11.800000,11.800000,114400
2018-11-16,11.790000,11.810000,11.530000,11.550000,11.550000,243900
2018-11-19,11.540000,11.870000,11.500000,11.610000,11.610000,244300
2018-11-20,11.600000,11.860000,11.570000,11.690000,11.690000,380800
2018-11-21,11.700000,12.000000,11.690000,11.870000,11.870000,310600
2018-11-23,11.920000,11.930000,11.650000,11.880000,11.880000,269500
2018-11-26,11.760000,11.843000,11.560000,11.600000,11.600000,185400
2018-11-27,11.580000,11.810000,11.550000,11.590000,11.590000,281000
2018-11-28,11.580000,11.840000,11.550000,11.710000,11.710000,287200
2018-11-29,11.660000,11.840000,11.560000,11.710000,11.710000,339800
2018-11-30,11.670000,11.840000,11.560000,11.650000,11.650000,541200
2018-12-03,11.723000,11.860000,11.590000,11.790000,11.790000,490400
2018-12-04,11.700000,11.780000,11.220000,11.620000,11.620000,407700
2018-12-06,11.510000,12.440000,7.370000,9.990000,9.990000,9967000
2018-12-07,10.190000,10.260000,8.250000,8.280000,8.280000,1144300
2018-12-10,8.200000,8.970000,7.785000,7.790000,7.790000,436300
2018-12-11,10.620000,10.700000,6.290000,6.340000,6.340000,1502300
2018-12-12,6.340000,6.450000,4.755000,4.860000,4.860000,1570600
2018-12-13,5.000000,5.125000,3.960000,4.030000,4.030000,1200400
2018-12-14,4.210000,4.428000,3.617000,3.720000,3.720000,615900
2018-12-17,4.220000,4.330000,3.600000,3.900000,3.900000,1556700
2018-12-18,4.010000,4.070000,3.720000,3.880000,3.880000,402700
2018-12-19,3.910000,3.920000,3.750000,3.750000,3.750000,367800
2018-12-20,4.060000,4.340000,3.920000,4.040000,4.040000,704900
2018-12-21,4.100000,4.450000,4.100000,4.270000,4.270000,699700
2018-12-24,4.280000,4.760000,4.280000,4.560000,4.560000,518700
2018-12-26,4.720000,5.080000,4.690000,4.740000,4.740000,422000
2018-12-27,4.760000,4.980000,3.950000,4.200000,4.200000,345900
2018-12-28,4.360000,4.360000,4.060000,4.070000,4.070000,57900
2018-12-31,3.970000,4.040000,3.870000,3.960000,3.960000,43100
2019-01-02,3.740000,4.024000,3.315000,3.430000,3.430000,175400
2019-01-03,3.380000,3.510000,3.350000,3.500000,3.500000,53700
2019-01-04,3.600000,4.460000,3.550000,3.650000,3.650000,126800
2019-01-07,3.640000,3.853000,3.200000,3.230000,3.230000,233300
2019-01-08,3.120000,3.120000,2.910000,2.980000,2.980000,141600
2019-01-09,2.900000,3.150000,2.760000,3.130000,3.130000,120700
2019-01-10,3.100000,3.440000,3.050000,3.370000,3.370000,118200
2019-01-11,3.380000,3.460000,3.370000,3.440000,3.440000,65200
2019-01-14,3.440000,3.460000,3.130000,3.250000,3.250000,38900
2019-01-15,3.220000,3.250000,3.010000,3.020000,3.020000,65600
2019-01-16,3.040000,3.081000,2.910000,2.950000,2.950000,11400
2019-01-17,2.970000,3.260000,2.700000,2.700000,2.700000,106400
2019-01-18,2.780000,2.780000,2.250000,2.470000,2.470000,328700
2019-01-22,2.500000,2.690000,2.470000,2.510000,2.510000,152200
2019-01-23,2.530000,2.860000,2.460000,2.820000,2.820000,411800
2019-01-24,2.870000,2.946000,2.320000,2.576000,2.576000,389500
2019-01-25,2.580000,2.640000,2.510000,2.630000,2.630000,125700
2019-01-28,2.630000,2.630000,2.360000,2.470000,2.470000,129700
2019-01-29,2.460000,2.499000,2.100000,2.170000,2.170000,112500
2019-01-30,2.120000,2.190000,1.960000,2.100000,2.100000,404200
2019-01-31,2.109000,2.115000,1.910000,1.930000,1.930000,230100
